ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY
541204921,0,08SEP53,46.0,0,8.0,"$73,872",No,"$245,878",Yes,z_F,Masters,Lawyer,43,Private,"$20,240",4,Sports Car,no,$0,0,No,0,$0,16.0,0,z_Highly Rural/ Rural
189682793,0,08DEC39,59.0,0,,"$46,087",No,"$180,425",Yes,z_F,Bachelors,z_Blue Collar,18,Commercial,"$15,750",1,Minivan,no,"$31,406",1,Yes,4,"$2,928",1.0,1,Highly Urban/ Urban
302505662,0,31DEC45,53.0,0,9.0,"$30,012",No,$0,z_No,z_F,Masters,Manager,17,Private,"$15,990",17,Minivan,no,$0,0,Yes,0,$0,15.0,0,Highly Urban/ Urban
40601203,0,03DEC50,48.0,0,10.0,"$11,067",No,$0,z_No,z_F,<High School,Student,47,Private,"$7,410",4,Sports Car,no,$0,0,No,3,$0,7.0,0,z_Highly Rural/ Rural
83085878,0,21JUN53,46.0,0,12.0,"$216,464",No,"$544,783",Yes,M,PhD,Manager,44,Commercial,"$39,130",4,Panel Truck,no,$0,0,No,0,"$4,493",13.0,1,Highly Urban/ Urban
723210037,0,31JAN55,44.0,2,15.0,"$14,041",No,"$122,698",Yes,z_F,z_High School,Clerical,30,Private,"$11,100",4,Pickup,yes,"$1,297",2,No,0,$0,1.0,0,Highly Urban/ Urban
70441660,1,30JAN61,38.0,1,13.0,"$7,443",No,,Yes,M,<High School,Student,21,Commercial,"$6,040",4,Pickup,yes,$0,0,No,1,"$5,803",1.0,1,Highly Urban/ Urban
886732326,0,10MAY39,60.0,0,12.0,"$77,658",No,"$272,962",Yes,z_F,Masters,Lawyer,64,Private,"$15,270",7,z_SUV,no,"$7,705",1,No,7,$840,18.0,1,Highly Urban/ Urban
514109893,0,08MAY73,26.0,1,9.0,"$73,655",Yes,$0,z_No,z_F,Bachelors,Professional,44,Commercial,"$9,150",13,z_SUV,no,"$7,303",2,No,5,"$3,760",7.0,1,Highly Urban/ Urban
350909425,0,21OCT64,35.0,2,12.0,"$30,111",Yes,$0,z_No,M,z_High School,Clerical,48,Private,"$4,510",6,Pickup,yes,"$7,654",2,No,9,"$2,976",1.0,1,Highly Urban/ Urban
378763891,0,17OCT63,36.0,3,11.0,"$49,703",Yes,"$253,132",z_No,M,Masters,,37,Private,"$6,470",17,Pickup,yes,$0,0,No,0,$0,,0,Highly Urban/ Urban
166124602,0,20FEB56,43.0,0,11.0,"$87,247",No,$0,z_No,z_F,Masters,Lawyer,21,Private,"$20,900",13,z_SUV,no,$0,0,No,0,$0,18.0,0,Highly Urban/ Urban
122549723,0,25FEB46,53.0,0,15.0,"$106,622",No,"$334,528",Yes,z_F,Masters,Lawyer,31,Private,"$21,750",10,Minivan,no,$0,0,No,4,$0,17.0,0,Highly Urban/ Urban
808457403,0,29APR54,45.0,0,7.0,"$155,990",No,"$405,671",Yes,z_F,Masters,Lawyer,30,Private,"$6,000",4,z_SUV,no,$0,0,No,0,$0,11.0,0,Highly Urban/ Urban
727492425,0,15JUL60,39.0,3,17.0,"$2,947",No,$0,Yes,z_F,<High School,Student,24,Private,"$5,690",7,z_SUV,no,$0,0,No,2,$0,1.0,0,z_Highly Rural/ Rural
696070556,0,28AUG48,51.0,0,12.0,,No,"$327,654",Yes,M,Bachelors,Manager,49,Commercial,"$31,380",3,Panel Truck,yes,$0,0,No,0,$0,9.0,0,Highly Urban/ Urban
91897685,0,16JAN52,47.0,0,12.0,"$109,013",No,$0,z_No,z_F,Bachelors,z_Blue Collar,14,Commercial,"$17,100",1,z_SUV,no,"$21,266",3,No,0,$0,9.0,0,Highly Urban/ Urban
494349872,0,03FEB50,49.0,0,9.0,"$60,368",No,"$170,643",Yes,M,Bachelors,Manager,16,Private,"$6,400",4,Pickup,no,$0,0,No,0,$0,4.0,0,Highly Urban/ Urban
822756907,0,19NOV62,36.0,0,12.0,"$101,077",No,,Yes,M,Masters,,42,Commercial,"$22,850",4,Panel Truck,yes,$0,0,No,3,$0,16.0,0,Highly Urban/ Urban
277244526,2,05JUL58,41.0,3,,"$11,233",No,"$140,788",Yes,z_F,Bachelors,Home Maker,53,Private,"$10,580",7,z_SUV,no,"$8,829",2,No,4,"$3,858",18.0,1,Highly Urban/ Urban
993778721,0,09NOV43,56.0,0,14.0,"$94,712",No,"$271,338",z_No,M,Masters,,12,Commercial,"$21,950",10,Van,yes,$0,0,No,0,$0,12.0,0,Highly Urban/ Urban
616070351,0,13SEP57,42.0,0,12.0,"$38,944",No,"$146,952",Yes,z_F,z_High School,Manager,36,Private,"$12,580",1,Minivan,no,$0,0,No,0,$0,7.0,0,Highly Urban/ Urban
681971608,0,01APR58,41.0,0,13.0,"$57,615",No,"$181,310",Yes,M,Bachelors,z_Blue Collar,37,Commercial,"$18,510",4,Van,yes,"$9,986",1,No,2,"$3,698",9.0,1,Highly Urban/ Urban
371469946,0,18JUL59,40.0,2,13.0,"$31,080",No,"$127,150",Yes,M,z_High School,Professional,37,Private,"$9,980",7,Pickup,yes,"$7,104",4,No,5,$0,1.0,0,Highly Urban/ Urban
446639717,1,18DEC53,45.0,3,15.0,"$79,586",No,,Yes,z_F,Masters,Lawyer,5,Private,"$27,670",1,Minivan,no,$0,0,No,0,$0,13.0,0,Highly Urban/ Urban
329167641,0,22MAR42,57.0,0,13.0,"$192,297",No,"$488,216",Yes,M,PhD,,53,Commercial,"$33,630",1,Panel Truck,yes,"$10,074",1,No,3,$0,21.0,0,Highly Urban/ Urban
451527947,0,13JAN46,53.0,0,13.0,"$242,749",No,"$539,586",Yes,M,PhD,,27,Commercial,"$33,070",6,Panel Truck,yes,$0,0,No,0,$0,15.0,0,Highly Urban/ Urban
560224362,0,11NOV69,30.0,1,12.0,"$51,110",Yes,"$176,252",z_No,z_F,<High School,z_Blue Collar,30,Private,"$12,350",4,Sports Car,no,"$7,884",3,No,2,$0,7.0,0,Highly Urban/ Urban
91317111,0,12JUN54,45.0,2,16.0,"$39,327",No,"$179,607",Yes,M,z_High School,z_Blue Collar,27,Commercial,"$15,940",4,Minivan,no,"$17,963",1,Yes,0,"$2,960",1.0,1,Highly Urban/ Urban
449429892,0,12JAN68,31.0,2,13.0,"$33,470",Yes,"$107,174",z_No,M,z_High School,Clerical,54,Commercial,"$4,850",17,Pickup,yes,$0,0,No,4,"$3,146",1.0,1,z_Highly Rural/ Rural
982806584,0,03APR60,39.0,0,,$0,No,"$80,529",Yes,M,Bachelors,Home Maker,52,Private,"$18,420",6,Minivan,yes,"$8,698",1,No,4,$0,7.0,0,Highly Urban/ Urban
874440593,1,04MAY55,44.0,2,12.0,"$48,288",Yes,$0,z_No,z_F,z_High School,z_Blue Collar,23,Commercial,"$13,280",6,z_SUV,no,$0,0,No,2,$0,12.0,0,Highly Urban/ Urban
542042023,0,30APR53,46.0,0,15.0,,No,"$109,034",Yes,M,z_High School,Clerical,21,Private,"$6,100",1,Pickup,no,$0,0,No,2,$0,1.0,0,Highly Urban/ Urban
354955875,0,13JUN48,51.0,0,,"$94,160",No,"$310,037",z_No,M,<High School,z_Blue Collar,31,Private,"$6,600",1,Pickup,no,"$8,136",2,No,0,"$4,613",5.0,1,Highly Urban/ Urban
590669743,0,04MAR55,44.0,0,12.0,"$29,819",No,$0,z_No,M,<High School,Clerical,26,Private,"$8,880",10,Pickup,yes,"$7,536",1,No,0,$0,1.0,0,Highly Urban/ Urban
924629937,0,15AUG67,32.0,3,0.0,$0,No,$0,Yes,z_F,Bachelors,Home Maker,75,Private,"$4,700",6,Sports Car,no,$0,0,No,0,$0,11.0,0,z_Highly Rural/ Rural
163178776,0,31DEC72,26.0,1,7.0,"$110,880",No,"$282,194",Yes,z_F,Masters,Manager,29,Private,"$3,900",18,z_SUV,no,$0,0,No,3,"$8,097",,1,Highly Urban/ Urban
826891719,0,19APR63,36.0,0,10.0,"$22,362",No,"$126,267",z_No,z_F,z_High School,Clerical,34,Private,"$9,200",1,z_SUV,no,"$4,633",1,No,5,"$3,404",1.0,1,Highly Urban/ Urban
8467576,2,30NOV62,36.0,2,9.0,"$69,434",No,"$230,609",Yes,M,Bachelors,z_Blue Collar,49,Private,"$3,860",4,Minivan,yes,"$3,367",2,No,0,"$5,118",7.0,1,Highly Urban/ Urban
403265081,0,02JUN53,46.0,0,12.0,"$78,804",No,"$270,734",Yes,z_F,z_High School,z_Blue Collar,54,Commercial,"$9,380",12,Sports Car,no,"$7,428",3,No,0,$0,1.0,0,Highly Urban/ Urban
640251296,0,23NOV40,58.0,0,,"$7,452",No,$0,z_No,z_F,z_High School,Student,30,Private,"$8,050",1,z_SUV,no,"$9,231",3,No,0,"$2,011",1.0,1,Highly Urban/ Urban
402081149,0,29APR59,40.0,0,9.0,"$70,381",No,"$267,721",Yes,z_F,Masters,Manager,24,Private,"$13,790",1,z_SUV,no,$0,0,Yes,2,$0,14.0,0,Highly Urban/ Urban
838614829,1,20JAN59,40.0,2,14.0,"$55,172",Yes,$0,z_No,z_F,z_High School,z_Blue Collar,22,Commercial,"$12,400",4,z_SUV,no,"$7,947",3,No,6,$0,1.0,0,z_Highly Rural/ Rural
10083678,0,15DEC40,58.0,0,,"$37,528",No,"$185,996",Yes,M,Masters,,26,Commercial,"$11,050",6,Pickup,no,"$41,833",3,Yes,5,$0,,0,Highly Urban/ Urban
418690592,2,18DEC57,41.0,2,9.0,"$93,150",Yes,"$274,760",z_No,M,z_High School,Manager,49,Commercial,"$10,810",4,Pickup,no,"$6,985",1,No,2,"$5,579",1.0,1,Highly Urban/ Urban
460939265,0,21AUG51,48.0,0,11.0,"$56,814",No,"$230,221",z_No,M,z_High School,Clerical,55,Private,"$10,930",7,Minivan,yes,$0,0,No,0,"$5,184",1.0,1,Highly Urban/ Urban
506477884,2,01DEC31,67.0,3,17.0,"$30,182",No,"$143,293",Yes,z_F,z_High School,Manager,25,Private,"$20,610",4,Sports Car,no,$0,0,No,2,"$5,391",8.0,1,Highly Urban/ Urban
855927277,1,05AUG62,37.0,2,11.0,"$3,081",Yes,$0,z_No,M,z_High School,Student,43,Private,"$1,500",6,Minivan,yes,$0,0,No,0,"$1,245",1.0,1,z_Highly Rural/ Rural
283591503,0,18OCT83,16.0,1,,$0,Yes,,z_No,z_F,<High School,Home Maker,5,Private,"$13,950",6,Sports Car,no,$0,0,No,2,$0,7.0,0,Highly Urban/ Urban
494990328,0,11MAR73,26.0,1,9.0,"$44,386",No,"$209,993",Yes,z_F,z_High School,Manager,47,Private,"$12,000",7,z_SUV,no,"$7,611",1,No,3,$0,5.0,0,Highly Urban/ Urban
457559751,0,10AUG56,43.0,2,15.0,"$171,529",Yes,$0,z_No,M,PhD,Professional,27,Commercial,"$18,920",1,Van,yes,"$16,619",1,Yes,4,$0,17.0,0,Highly Urban/ Urban
499348624,0,24JAN57,42.0,0,10.0,,No,"$51,401",Yes,z_F,<High School,Home Maker,41,Private,"$5,800",7,Sports Car,no,"$8,834",1,No,1,"$5,727",9.0,1,Highly Urban/ Urban
817543411,1,05DEC59,39.0,2,13.0,,Yes,"$299,021",z_No,M,Bachelors,Manager,50,Private,"$16,550",7,Minivan,yes,"$9,627",2,No,4,$0,12.0,0,Highly Urban/ Urban
834575302,0,10MAY57,42.0,0,11.0,"$73,762",No,"$262,869",Yes,z_F,z_High School,z_Blue Collar,53,Commercial,"$27,210",7,z_SUV,no,"$1,372",2,No,4,"$4,847",1.0,1,Highly Urban/ Urban
690093473,1,03AUG60,39.0,2,13.0,"$48,887",Yes,"$178,171",z_No,z_F,Bachelors,z_Blue Collar,38,Commercial,"$10,290",10,z_SUV,no,"$1,459",2,No,5,$0,13.0,0,Highly Urban/ Urban
912369374,1,05JUN57,42.0,2,0.0,$0,Yes,$0,z_No,z_F,<High School,Student,29,Private,"$10,930",11,Sports Car,no,$0,0,No,3,"$3,819",8.0,1,Highly Urban/ Urban
248055809,0,25JAN68,31.0,3,15.0,"$47,629",No,"$144,222",Yes,z_F,z_High School,z_Blue Collar,38,Commercial,"$9,360",1,z_SUV,no,"$6,906",2,No,0,$692,6.0,1,Highly Urban/ Urban
99246000,0,21DEC37,61.0,0,14.0,"$120,074",No,$0,z_No,z_F,PhD,Doctor,17,Private,"$8,030",6,Sports Car,no,$0,0,No,0,$0,18.0,0,z_Highly Rural/ Rural
326037454,0,09FEB44,55.0,0,13.0,,No,"$256,253",Yes,M,Bachelors,z_Blue Collar,33,Commercial,"$11,180",3,Pickup,yes,"$9,111",2,No,6,$0,3.0,0,Highly Urban/ Urban
520572159,0,18OCT62,37.0,0,10.0,,No,$0,z_No,M,z_High School,z_Blue Collar,21,Commercial,"$8,360",1,Pickup,yes,"$17,775",2,Yes,0,"$8,812",11.0,1,Highly Urban/ Urban
32461891,0,05OCT49,50.0,0,12.0,"$76,096",No,$0,z_No,M,PhD,Lawyer,23,Private,"$14,930",4,Minivan,yes,$0,0,No,3,$0,21.0,0,Highly Urban/ Urban
450197593,0,02AUG74,25.0,0,8.0,"$118,074",No,"$353,178",Yes,M,Bachelors,Professional,26,Private,"$15,810",6,Minivan,yes,$0,0,Yes,2,$0,10.0,0,Highly Urban/ Urban
490636474,1,01JUN59,40.0,2,6.0,"$54,159",No,"$180,764",Yes,M,<High School,z_Blue Collar,65,Private,"$16,920",10,Van,yes,$0,0,No,1,$0,1.0,0,z_Highly Rural/ Rural
731368580,0,14AUG72,27.0,3,12.0,"$78,418",Yes,"$224,245",z_No,z_F,z_High School,Professional,5,Private,"$21,860",1,z_SUV,no,"$4,740",3,No,0,"$5,374",8.0,1,Highly Urban/ Urban
761918307,2,07SEP54,45.0,2,9.0,"$14,640",No,"$87,100",Yes,z_F,<High School,z_Blue Collar,37,Private,"$23,940",1,z_SUV,no,$0,0,No,2,"$7,861",5.0,1,Highly Urban/ Urban
