,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive,,,,,,,
0,RBF,Teste,0,100,428,26,168,,,,TruePositives,TrueNegatives,FalsePositives,FalseNegatives
1,RBF,Teste,1,100,432,18,171,,,Teste,1727,1034,4254,196
2,RBF,Teste,2,110,413,18,180,,,Treino,15437,10403,37189,1870
3,RBF,Teste,3,113,413,21,174,,,,,,,
4,RBF,Teste,4,83,440,22,176,,,,,,,
5,RBF,Teste,5,99,434,17,171,,,,,,,
6,RBF,Teste,6,115,418,17,171,,,,,,,
7,RBF,Teste,7,95,454,11,161,,,,,,,
8,RBF,Teste,8,97,425,24,175,,,,,,,
9,RBF,Teste,9,122,397,22,180,,,,,,,
10,RBF,Treino,0,1021,3739,159,1570,,,,,,,
11,RBF,Treino,1,948,3808,167,1567,,,,,,,
12,RBF,Treino,2,1126,3639,236,1489,,,,,,,
13,RBF,Treino,3,1075,3687,197,1531,,,,,,,
14,RBF,Treino,4,982,3783,180,1545,,,,,,,
15,RBF,Treino,5,1014,3741,156,1579,,,,,,,
16,RBF,Treino,6,1109,3646,201,1534,,,,,,,
17,RBF,Treino,7,782,3957,145,1606,,,,,,,
18,RBF,Treino,8,1105,3661,206,1518,,,,,,,
19,RBF,Treino,9,1241,3528,223,1498,,,,,,,
