,Nome,Tipo,Iteracao,MSE
0,Arvore,Teste,0,39675241.17036011
1,Arvore,Teste,1,46405051.585298195
2,Arvore,Teste,2,83132211.8848821
3,Arvore,Teste,3,42681859.291262135
4,Arvore,Teste,4,57167873.50208044
5,Arvore,Teste,5,43510402.57004161
6,Arvore,Teste,6,47515886.93481276
7,Arvore,Teste,7,58671154.04299584
8,Arvore,Teste,8,64503100.24965326
9,Arvore,Teste,9,70270858.93897365
10,Arvore,Treino,0,0.0
11,Arvore,Treino,1,0.0
12,Arvore,Treino,2,0.0
13,Arvore,Treino,3,0.0
14,Arvore,Treino,4,0.0
15,Arvore,Treino,5,0.0
16,Arvore,Treino,6,0.0
17,Arvore,Treino,7,0.0
18,Arvore,Treino,8,0.0
19,Arvore,Treino,9,0.0
