,Nome,Tipo,Iteracao,MSE
0,GLM_Tweedie_Valor_1.52,Teste,0,191159124.95191908
1,GLM_Tweedie_Valor_1.52,Teste,1,118878530.69405112
2,GLM_Tweedie_Valor_1.52,Teste,2,83901530.36184259
3,GLM_Tweedie_Valor_1.52,Teste,3,137274739.66430482
4,GLM_Tweedie_Valor_1.52,Teste,4,162359679.6063968
5,GLM_Tweedie_Valor_1.52,Teste,5,80159807.41313247
6,GLM_Tweedie_Valor_1.52,Teste,6,109518033.91427541
7,GLM_Tweedie_Valor_1.52,Teste,7,45710899.485171676
8,GLM_Tweedie_Valor_1.52,Teste,8,85636721.09574871
9,GLM_Tweedie_Valor_1.52,Teste,9,77632147.96597007
10,GLM_Tweedie_Valor_1.52,Treino,0,92134449.09358586
11,GLM_Tweedie_Valor_1.52,Treino,1,93471708.06700109
12,GLM_Tweedie_Valor_1.52,Treino,2,103868029.42113833
13,GLM_Tweedie_Valor_1.52,Treino,3,102554056.41059804
14,GLM_Tweedie_Valor_1.52,Treino,4,102553505.81366237
15,GLM_Tweedie_Valor_1.52,Treino,5,122051902.9254059
16,GLM_Tweedie_Valor_1.52,Treino,6,114114246.5789598
17,GLM_Tweedie_Valor_1.52,Treino,7,110871260.64593792
18,GLM_Tweedie_Valor_1.52,Treino,8,107979548.14509936
19,GLM_Tweedie_Valor_1.52,Treino,9,61748773.41886114
