,Nome,Tipo,Iteracao,MSE
0,RBF,Teste,0,19779888.200137205
1,RBF,Teste,1,25748069.368500825
2,RBF,Teste,2,33810172.70419891
3,RBF,Teste,3,17627514.726006914
4,RBF,Teste,4,41109663.613959335
5,RBF,Teste,5,12862877.3514262
6,RBF,Teste,6,26825747.775036614
7,RBF,Teste,7,21149777.457592435
8,RBF,Teste,8,27266256.53052272
9,RBF,Teste,9,35486692.12429245
10,RBF,Treino,0,26478292.762761943
11,RBF,Treino,1,25952171.501854617
12,RBF,Treino,2,25064204.095404778
13,RBF,Treino,3,26890905.836390372
14,RBF,Treino,4,24228949.339997392
15,RBF,Treino,5,27197158.977367114
16,RBF,Treino,6,25753027.513289977
17,RBF,Treino,7,26322842.109660327
18,RBF,Treino,8,25663704.578395244
19,RBF,Treino,9,24785655.145700295
