,Nome,Tipo,Iteracao,MSE
0,Arvore,Teste,0,0.6426592797783933
1,Arvore,Teste,1,0.7420249653259362
2,Arvore,Teste,2,0.6213592233009708
3,Arvore,Teste,3,0.6615811373092927
4,Arvore,Teste,4,0.739251040221914
5,Arvore,Teste,5,0.624133148404993
6,Arvore,Teste,6,0.7142857142857143
7,Arvore,Teste,7,0.7031900138696255
8,Arvore,Teste,8,0.6574202496532594
9,Arvore,Teste,9,0.6435506241331485
10,Arvore,Treino,0,0.0
11,Arvore,Treino,1,0.0
12,Arvore,Treino,2,0.0
13,Arvore,Treino,3,0.0
14,Arvore,Treino,4,0.0
15,Arvore,Treino,5,0.0
16,Arvore,Treino,6,0.0
17,Arvore,Treino,7,0.0
18,Arvore,Treino,8,0.0
19,Arvore,Treino,9,0.0
