,Nome,Tipo,Iteracao,MSE
0,GLM,Teste,0,1.1104848719612948
1,GLM,Teste,1,1.323336917136328
2,GLM,Teste,2,1.0267839271683532
3,GLM,Teste,3,1.1899000585481818
4,GLM,Teste,4,1.0536076187473793
5,GLM,Teste,5,1.0006648860125007
6,GLM,Teste,6,1.1871175367012516
7,GLM,Teste,7,1.3023203270451236
8,GLM,Teste,8,1.0405938536715773
9,GLM,Teste,9,1.0906950486150002
10,GLM,Treino,0,1.0945362321348266
11,GLM,Treino,1,1.0865418091148085
12,GLM,Treino,2,1.1005219751837452
13,GLM,Treino,3,1.0894804529542899
14,GLM,Treino,4,1.0997709034360497
15,GLM,Treino,5,1.0905885078719932
16,GLM,Treino,6,1.0974872172021248
17,GLM,Treino,7,1.0740979338540284
18,GLM,Treino,8,1.0929236100615982
19,GLM,Treino,9,1.1154092473827126
