,Nome,Tipo,Iteracao,MSE
0,RBF,Teste,0,1.2460683208984624
1,RBF,Teste,1,1.3228955716072652
2,RBF,Teste,2,1.2383811566566203
3,RBF,Teste,3,1.4093763278577416
4,RBF,Teste,4,1.3790622461497621
5,RBF,Teste,5,1.3150381166254639
6,RBF,Teste,6,1.3052625906858384
7,RBF,Teste,7,1.9427217258689
8,RBF,Teste,8,1.3808390472685812
9,RBF,Teste,9,1.2408279291268614
10,RBF,Treino,0,1.3049758341168367
11,RBF,Treino,1,1.3021928097219704
12,RBF,Treino,2,1.3060533302906834
13,RBF,Treino,3,1.2899199514009323
14,RBF,Treino,4,1.2991209224268383
15,RBF,Treino,5,1.2924289259377182
16,RBF,Treino,6,1.2996684877961966
17,RBF,Treino,7,1.2722884600598905
18,RBF,Treino,8,1.282080016239291
19,RBF,Treino,9,1.314029597273777
