,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF_40_-0.4,Teste,0,1,527,0,194
1,RBF_40_-0.4,Teste,1,2,530,0,189
2,RBF_40_-0.4,Teste,2,0,523,0,198
3,RBF_40_-0.4,Teste,3,1,525,0,195
4,RBF_40_-0.4,Teste,4,2,521,0,198
5,RBF_40_-0.4,Teste,5,0,533,0,188
6,RBF_40_-0.4,Teste,6,1,532,0,188
7,RBF_40_-0.4,Teste,7,0,549,0,172
8,RBF_40_-0.4,Teste,8,1,521,0,199
9,RBF_40_-0.4,Teste,9,1,518,1,201
10,RBF_40_-0.4,Treino,0,1,4759,0,1729
11,RBF_40_-0.4,Treino,1,1,4755,0,1734
12,RBF_40_-0.4,Treino,2,0,4765,0,1725
13,RBF_40_-0.4,Treino,3,2,4760,0,1728
14,RBF_40_-0.4,Treino,4,0,4765,0,1725
15,RBF_40_-0.4,Treino,5,1,4754,0,1735
16,RBF_40_-0.4,Treino,6,0,4755,0,1735
17,RBF_40_-0.4,Treino,7,0,4739,0,1751
18,RBF_40_-0.4,Treino,8,0,4766,0,1724
19,RBF_40_-0.4,Treino,9,0,4769,0,1721
