,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF_40_0.19999999999999996,Teste,0,13,515,2,192
1,RBF_40_0.19999999999999996,Teste,1,10,522,2,187
2,RBF_40_0.19999999999999996,Teste,2,9,514,1,197
3,RBF_40_0.19999999999999996,Teste,3,8,518,2,193
4,RBF_40_0.19999999999999996,Teste,4,11,512,1,197
5,RBF_40_0.19999999999999996,Teste,5,9,524,2,186
6,RBF_40_0.19999999999999996,Teste,6,14,519,3,185
7,RBF_40_0.19999999999999996,Teste,7,9,540,1,171
8,RBF_40_0.19999999999999996,Teste,8,11,511,2,197
9,RBF_40_0.19999999999999996,Teste,9,12,507,3,199
10,RBF_40_0.19999999999999996,Treino,0,134,4626,7,1722
11,RBF_40_0.19999999999999996,Treino,1,110,4646,5,1729
12,RBF_40_0.19999999999999996,Treino,2,116,4649,8,1717
13,RBF_40_0.19999999999999996,Treino,3,135,4627,9,1719
14,RBF_40_0.19999999999999996,Treino,4,111,4654,8,1717
15,RBF_40_0.19999999999999996,Treino,5,122,4633,14,1721
16,RBF_40_0.19999999999999996,Treino,6,130,4625,8,1727
17,RBF_40_0.19999999999999996,Treino,7,86,4653,7,1744
18,RBF_40_0.19999999999999996,Treino,8,123,4643,8,1716
19,RBF_40_0.19999999999999996,Treino,9,131,4638,12,1709
