,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF_40_0.29000000000000004,Teste,0,523,5,192,2
1,RBF_40_0.29000000000000004,Teste,1,522,10,182,7
2,RBF_40_0.29000000000000004,Teste,2,514,9,190,8
3,RBF_40_0.29000000000000004,Teste,3,510,16,192,3
4,RBF_40_0.29000000000000004,Teste,4,514,9,195,3
5,RBF_40_0.29000000000000004,Teste,5,525,8,183,5
6,RBF_40_0.29000000000000004,Teste,6,525,8,184,4
7,RBF_40_0.29000000000000004,Teste,7,538,11,165,7
8,RBF_40_0.29000000000000004,Teste,8,516,6,193,6
9,RBF_40_0.29000000000000004,Teste,9,508,11,199,3
10,RBF_40_0.29000000000000004,Treino,0,4707,53,1688,41
11,RBF_40_0.29000000000000004,Treino,1,4664,92,1672,62
12,RBF_40_0.29000000000000004,Treino,2,4689,76,1668,57
13,RBF_40_0.29000000000000004,Treino,3,4665,97,1650,78
14,RBF_40_0.29000000000000004,Treino,4,4683,82,1651,74
15,RBF_40_0.29000000000000004,Treino,5,4672,83,1666,69
16,RBF_40_0.29000000000000004,Treino,6,4670,85,1676,59
17,RBF_40_0.29000000000000004,Treino,7,4644,95,1683,68
18,RBF_40_0.29000000000000004,Treino,8,4699,67,1666,58
19,RBF_40_0.29000000000000004,Treino,9,4694,75,1658,63
