,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF_40_0.26,Teste,0,178,350,41,153
1,RBF_40_0.26,Teste,1,198,334,43,146
2,RBF_40_0.26,Teste,2,181,342,43,155
3,RBF_40_0.26,Teste,3,231,295,62,133
4,RBF_40_0.26,Teste,4,353,170,107,91
5,RBF_40_0.26,Teste,5,157,376,35,153
6,RBF_40_0.26,Teste,6,143,390,26,162
7,RBF_40_0.26,Teste,7,122,427,27,145
8,RBF_40_0.26,Teste,8,184,338,38,161
9,RBF_40_0.26,Teste,9,156,363,47,155
10,RBF_40_0.26,Treino,0,1716,3044,364,1365
11,RBF_40_0.26,Treino,1,1797,2959,395,1339
12,RBF_40_0.26,Treino,2,1621,3144,361,1364
13,RBF_40_0.26,Treino,3,2067,2695,460,1268
14,RBF_40_0.26,Treino,4,3233,1532,895,830
15,RBF_40_0.26,Treino,5,1349,3406,280,1455
16,RBF_40_0.26,Treino,6,1395,3360,274,1461
17,RBF_40_0.26,Treino,7,1174,3565,248,1503
18,RBF_40_0.26,Treino,8,1696,3070,350,1374
19,RBF_40_0.26,Treino,9,1583,3186,337,1384
