,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF_40_0.0,Teste,0,4,524,0,194
1,RBF_40_0.0,Teste,1,3,529,1,188
2,RBF_40_0.0,Teste,2,0,523,0,198
3,RBF_40_0.0,Teste,3,9,517,0,195
4,RBF_40_0.0,Teste,4,5,518,0,198
5,RBF_40_0.0,Teste,5,3,530,1,187
6,RBF_40_0.0,Teste,6,2,531,0,188
7,RBF_40_0.0,Teste,7,4,545,0,172
8,RBF_40_0.0,Teste,8,7,515,2,197
9,RBF_40_0.0,Teste,9,3,516,1,201
10,RBF_40_0.0,Treino,0,32,4728,1,1728
11,RBF_40_0.0,Treino,1,38,4718,0,1734
12,RBF_40_0.0,Treino,2,25,4740,1,1724
13,RBF_40_0.0,Treino,3,37,4725,0,1728
14,RBF_40_0.0,Treino,4,26,4739,0,1725
15,RBF_40_0.0,Treino,5,28,4727,1,1734
16,RBF_40_0.0,Treino,6,20,4735,0,1735
17,RBF_40_0.0,Treino,7,39,4700,1,1750
18,RBF_40_0.0,Treino,8,22,4744,0,1724
19,RBF_40_0.0,Treino,9,29,4740,0,1721
