,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF_80_1,Teste,0,528,0,194,0
1,RBF_80_1,Teste,1,532,0,189,0
2,RBF_80_1,Teste,2,523,0,198,0
3,RBF_80_1,Teste,3,526,0,195,0
4,RBF_80_1,Teste,4,523,0,197,1
5,RBF_80_1,Teste,5,533,0,188,0
6,RBF_80_1,Teste,6,533,0,187,1
7,RBF_80_1,Teste,7,549,0,171,1
8,RBF_80_1,Teste,8,521,1,199,0
9,RBF_80_1,Teste,9,519,0,202,0
10,RBF_80_1,Treino,0,4760,0,1725,4
11,RBF_80_1,Treino,1,4756,0,1729,5
12,RBF_80_1,Treino,2,4764,1,1724,1
13,RBF_80_1,Treino,3,4761,1,1724,4
14,RBF_80_1,Treino,4,4764,1,1722,3
15,RBF_80_1,Treino,5,4755,0,1732,3
16,RBF_80_1,Treino,6,4755,0,1731,4
17,RBF_80_1,Treino,7,4739,0,1747,4
18,RBF_80_1,Treino,8,4766,0,1719,5
19,RBF_80_1,Treino,9,4768,1,1717,4
