,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF_100_-0.5,Teste,0,0,528,0,194
1,RBF_100_-0.5,Teste,1,0,532,1,188
2,RBF_100_-0.5,Teste,2,1,522,0,198
3,RBF_100_-0.5,Teste,3,1,525,0,195
4,RBF_100_-0.5,Teste,4,0,523,0,198
5,RBF_100_-0.5,Teste,5,0,533,0,188
6,RBF_100_-0.5,Teste,6,0,533,0,188
7,RBF_100_-0.5,Teste,7,0,549,0,172
8,RBF_100_-0.5,Teste,8,0,522,0,199
9,RBF_100_-0.5,Teste,9,0,519,0,202
10,RBF_100_-0.5,Treino,0,0,4760,0,1729
11,RBF_100_-0.5,Treino,1,0,4756,0,1734
12,RBF_100_-0.5,Treino,2,0,4765,0,1725
13,RBF_100_-0.5,Treino,3,0,4762,0,1728
14,RBF_100_-0.5,Treino,4,0,4765,0,1725
15,RBF_100_-0.5,Treino,5,0,4755,0,1735
16,RBF_100_-0.5,Treino,6,0,4755,0,1735
17,RBF_100_-0.5,Treino,7,0,4739,0,1751
18,RBF_100_-0.5,Treino,8,0,4766,0,1724
19,RBF_100_-0.5,Treino,9,0,4769,0,1721
20,RBF_100_0.0,Teste,0,4,524,1,193
21,RBF_100_0.0,Teste,1,4,528,1,188
22,RBF_100_0.0,Teste,2,7,516,1,197
23,RBF_100_0.0,Teste,3,4,522,1,194
24,RBF_100_0.0,Teste,4,10,513,2,196
25,RBF_100_0.0,Teste,5,6,527,2,186
26,RBF_100_0.0,Teste,6,3,530,0,188
27,RBF_100_0.0,Teste,7,9,540,2,170
28,RBF_100_0.0,Teste,8,5,517,2,197
29,RBF_100_0.0,Teste,9,3,516,1,201
30,RBF_100_0.0,Treino,0,77,4683,1,1728
31,RBF_100_0.0,Treino,1,79,4677,0,1734
32,RBF_100_0.0,Treino,2,72,4693,1,1724
33,RBF_100_0.0,Treino,3,77,4685,0,1728
34,RBF_100_0.0,Treino,4,64,4701,1,1724
35,RBF_100_0.0,Treino,5,67,4688,0,1735
36,RBF_100_0.0,Treino,6,51,4704,3,1732
37,RBF_100_0.0,Treino,7,94,4645,0,1751
