,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
1,Arvore,Teste,0,411,117,120,74
3,Arvore,Teste,1,420,112,104,85
5,Arvore,Teste,2,412,111,115,83
7,Arvore,Teste,3,426,100,111,84
9,Arvore,Teste,4,388,135,109,89
11,Arvore,Teste,5,402,131,93,95
13,Arvore,Teste,6,432,101,121,67
15,Arvore,Teste,7,440,109,84,88
17,Arvore,Teste,8,406,116,122,77
19,Arvore,Teste,9,411,108,117,85
0,Arvore,Treino,0,4760,0,0,1729
2,Arvore,Treino,1,4756,0,0,1734
4,Arvore,Treino,2,4765,0,0,1725
6,Arvore,Treino,3,4762,0,0,1728
8,Arvore,Treino,4,4765,0,0,1725
10,Arvore,Treino,5,4755,0,0,1735
12,Arvore,Treino,6,4755,0,0,1735
14,Arvore,Treino,7,4739,0,0,1751
16,Arvore,Treino,8,4766,0,0,1724
18,Arvore,Treino,9,4769,0,0,1721
