,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
1,RBF,Teste,0,411,117,120,74
3,RBF,Teste,1,420,112,104,85
5,RBF,Teste,2,412,111,115,83
7,RBF,Teste,3,426,100,111,84
9,RBF,Teste,4,388,135,109,89
11,RBF,Teste,5,402,131,93,95
13,RBF,Teste,6,432,101,121,67
15,RBF,Teste,7,440,109,84,88
17,RBF,Teste,8,406,116,122,77
19,RBF,Teste,9,411,108,117,85
0,RBF,Treino,0,4760,0,0,1729
2,RBF,Treino,1,4756,0,0,1734
4,RBF,Treino,2,4765,0,0,1725
6,RBF,Treino,3,4762,0,0,1728
8,RBF,Treino,4,4765,0,0,1725
10,RBF,Treino,5,4755,0,0,1735
12,RBF,Treino,6,4755,0,0,1735
14,RBF,Treino,7,4739,0,0,1751
16,RBF,Treino,8,4766,0,0,1724
18,RBF,Treino,9,4769,0,0,1721
