Nome,Tipo,True_Negative,False_Positive,False_Negative,True_Positive
RBF_100_-0.5,Teste,2,5286,1,1922
RBF_100_-0.5,Treino,0,47592,0,17307
RBF_100_0.0,Teste,55,5233,13,1910
RBF_100_0.0,Treino,726,46866,7,17300
RBF_100_0.5,Teste,5251,37,1887,36
RBF_100_0.5,Treino,47370,222,16883,424
RBF_100_1,Teste,5282,6,1920,3
RBF_100_1,Treino,47584,8,17269,38
RBF_10_-0.5,Teste,0,5288,0,1923
RBF_10_-0.5,Treino,0,47592,0,17307
RBF_10_0.0,Teste,0,5288,0,1923
RBF_10_0.0,Treino,5,47587,1,17306
RBF_10_0.5,Teste,5283,5,1917,6
RBF_10_0.5,Treino,47546,46,17261,46
RBF_10_1,Teste,5288,0,1923,0
RBF_10_1,Treino,47592,0,17307,0
RBF_20_-0.5,Teste,0,5288,0,1923
RBF_20_-0.5,Treino,0,47592,0,17307
RBF_20_0.0,Teste,13,5275,1,1922
RBF_20_0.0,Treino,148,47444,10,17297
RBF_20_0.5,Teste,5279,9,1920,3
RBF_20_0.5,Treino,47551,41,17283,24
RBF_20_1,Teste,5288,0,1923,0
RBF_20_1,Treino,47592,0,17307,0
RBF_40_-0.5,Teste,1,5287,0,1923
RBF_40_-0.5,Treino,0,47592,0,17307
RBF_40_0.0,Teste,40,5248,5,1918
RBF_40_0.0,Treino,296,47296,4,17303
RBF_40_0.5,Teste,5272,16,1906,17
RBF_40_0.5,Treino,47446,146,17112,195
RBF_40_1,Teste,5287,1,1918,5
RBF_40_1,Treino,47592,0,17281,26
RBF_80_-0.5,Teste,0,5288,0,1923
RBF_80_-0.5,Treino,0,47592,0,17307
RBF_80_0.0,Teste,59,5229,6,1917
RBF_80_0.0,Treino,739,46853,8,17299
RBF_80_0.5,Teste,5267,21,1896,27
RBF_80_0.5,Treino,47433,159,16976,331
RBF_80_1,Teste,5287,1,1920,3
RBF_80_1,Treino,47588,4,17270,37
