Nome,Tipo,NUM_CENTERS,TRESHOLD,True_Negative,False_Positive,False_Negative,True_Positive
RBF,Teste,40,-0.19999999999999996,11,5277,1,1922
RBF,Teste,40,-0.4,9,5279,1,1922
RBF,Teste,40,-0.6,5,5283,0,1923
RBF,Teste,40,-0.8,5,5283,0,1923
RBF,Teste,40,-1.0,5,5283,0,1923
RBF,Teste,40,0.0,26,5262,3,1920
RBF,Teste,40,0.19999999999999996,106,5182,19,1904
RBF,Teste,40,0.3999999999999999,5268,20,1910,13
RBF,Teste,40,0.6000000000000001,5276,12,1916,7
RBF,Teste,40,0.8,5283,5,1918,5
RBF,Teste,40,1.0,5286,2,1920,3
RBF,Treino,40,-0.19999999999999996,60,47532,0,17307
RBF,Treino,40,-0.4,5,47587,0,17307
RBF,Treino,40,-0.6,0,47592,0,17307
RBF,Treino,40,-0.8,0,47592,0,17307
RBF,Treino,40,-1.0,0,47592,0,17307
RBF,Treino,40,0.0,283,47309,1,17306
RBF,Treino,40,0.19999999999999996,1198,46394,86,17221
RBF,Treino,40,0.3999999999999999,47454,138,17082,225
RBF,Treino,40,0.6000000000000001,47571,21,17215,92
RBF,Treino,40,0.8,47590,2,17261,46
RBF,Treino,40,1.0,47591,1,17280,27
