Nome,Tipo,NUM_CENTERS,TRESHOLD,True_Negative,False_Positive,False_Negative,True_Positive
RBF,Teste,10,-0.5,0,5288,0,1923
RBF,Teste,10,0.0,0,5288,0,1923
RBF,Teste,10,0.5,5283,5,1917,6
RBF,Teste,10,1,5288,0,1923,0
RBF,Teste,100,-0.5,2,5286,1,1922
RBF,Teste,100,0.0,55,5233,13,1910
RBF,Teste,100,0.5,5251,37,1887,36
RBF,Teste,100,1,5282,6,1920,3
RBF,Teste,20,-0.5,0,5288,0,1923
RBF,Teste,20,0.0,13,5275,1,1922
RBF,Teste,20,0.5,5279,9,1920,3
RBF,Teste,20,1,5288,0,1923,0
RBF,Teste,40,-0.5,1,5287,0,1923
RBF,Teste,40,0.0,40,5248,5,1918
RBF,Teste,40,0.5,5272,16,1906,17
RBF,Teste,40,1,5287,1,1918,5
RBF,Teste,80,-0.5,0,5288,0,1923
RBF,Teste,80,0.0,59,5229,6,1917
RBF,Teste,80,0.5,5267,21,1896,27
RBF,Teste,80,1,5287,1,1920,3
RBF,Treino,10,-0.5,0,47592,0,17307
RBF,Treino,10,0.0,5,47587,1,17306
RBF,Treino,10,0.5,47546,46,17261,46
RBF,Treino,10,1,47592,0,17307,0
RBF,Treino,100,-0.5,0,47592,0,17307
RBF,Treino,100,0.0,726,46866,7,17300
RBF,Treino,100,0.5,47370,222,16883,424
RBF,Treino,100,1,47584,8,17269,38
RBF,Treino,20,-0.5,0,47592,0,17307
RBF,Treino,20,0.0,148,47444,10,17297
RBF,Treino,20,0.5,47551,41,17283,24
RBF,Treino,20,1,47592,0,17307,0
RBF,Treino,40,-0.5,0,47592,0,17307
RBF,Treino,40,0.0,296,47296,4,17303
RBF,Treino,40,0.5,47446,146,17112,195
RBF,Treino,40,1,47592,0,17281,26
RBF,Treino,80,-0.5,0,47592,0,17307
RBF,Treino,80,0.0,739,46853,8,17299
RBF,Treino,80,0.5,47433,159,16976,331
RBF,Treino,80,1,47588,4,17270,37
