Nome,Tipo,TRESHOLD,NUM_CENTERS,True_Negative,False_Positive,False_Negative,True_Positive
RBF,Teste,-0.5,10,0,5288,0,1923
RBF,Teste,-0.5,100,2,5286,1,1922
RBF,Teste,-0.5,20,0,5288,0,1923
RBF,Teste,-0.5,40,1,5287,0,1923
RBF,Teste,-0.5,80,0,5288,0,1923
RBF,Teste,0.0,10,0,5288,0,1923
RBF,Teste,0.0,100,55,5233,13,1910
RBF,Teste,0.0,20,13,5275,1,1922
RBF,Teste,0.0,40,40,5248,5,1918
RBF,Teste,0.0,80,59,5229,6,1917
RBF,Teste,0.5,10,5283,5,1917,6
RBF,Teste,0.5,100,5251,37,1887,36
RBF,Teste,0.5,20,5279,9,1920,3
RBF,Teste,0.5,40,5272,16,1906,17
RBF,Teste,0.5,80,5267,21,1896,27
RBF,Teste,1,10,5288,0,1923,0
RBF,Teste,1,100,5282,6,1920,3
RBF,Teste,1,20,5288,0,1923,0
RBF,Teste,1,40,5287,1,1918,5
RBF,Teste,1,80,5287,1,1920,3
RBF,Treino,-0.5,10,0,47592,0,17307
RBF,Treino,-0.5,100,0,47592,0,17307
RBF,Treino,-0.5,20,0,47592,0,17307
RBF,Treino,-0.5,40,0,47592,0,17307
RBF,Treino,-0.5,80,0,47592,0,17307
RBF,Treino,0.0,10,5,47587,1,17306
RBF,Treino,0.0,100,726,46866,7,17300
RBF,Treino,0.0,20,148,47444,10,17297
RBF,Treino,0.0,40,296,47296,4,17303
RBF,Treino,0.0,80,739,46853,8,17299
RBF,Treino,0.5,10,47546,46,17261,46
RBF,Treino,0.5,100,47370,222,16883,424
RBF,Treino,0.5,20,47551,41,17283,24
RBF,Treino,0.5,40,47446,146,17112,195
RBF,Treino,0.5,80,47433,159,16976,331
RBF,Treino,1,10,47592,0,17307,0
RBF,Treino,1,100,47584,8,17269,38
RBF,Treino,1,20,47592,0,17307,0
RBF,Treino,1,40,47592,0,17281,26
RBF,Treino,1,80,47588,4,17270,37
