Nome,Tipo,NUM_CENTERS,TRESHOLD,True_Negative,False_Positive,False_Negative,True_Positive
RBF,Teste,100,0.1,151,5137,31,1892
RBF,Teste,100,0.2,487,4801,101,1822
RBF,Teste,100,0.3,4743,545,1610,313
RBF,Teste,100,0.4,5163,125,1837,86
RBF,Teste,100,0.5,5251,37,1887,36
RBF,Teste,100,0.6,5275,13,1906,17
RBF,Teste,100,0.7,5281,7,1908,15
RBF,Teste,120,0.1,183,5105,40,1883
RBF,Teste,120,0.2,485,4803,106,1817
RBF,Teste,120,0.3,4686,602,1604,319
RBF,Teste,120,0.4,5141,147,1835,88
RBF,Teste,120,0.5,5249,39,1892,31
RBF,Teste,120,0.6,5273,15,1908,15
RBF,Teste,120,0.7,5279,9,1910,13
RBF,Teste,150,0.1,188,5100,51,1872
RBF,Teste,150,0.2,507,4781,135,1788
RBF,Teste,150,0.3,4602,686,1588,335
RBF,Teste,150,0.4,5078,210,1816,107
RBF,Teste,150,0.5,5207,81,1875,48
RBF,Teste,150,0.6,5250,38,1905,18
RBF,Teste,150,0.7,5267,21,1914,9
RBF,Teste,200,0.1,175,5113,44,1879
RBF,Teste,200,0.2,487,4801,113,1810
RBF,Teste,200,0.3,4673,615,1619,304
RBF,Teste,200,0.4,5081,207,1809,114
RBF,Teste,200,0.5,5206,82,1881,42
RBF,Teste,200,0.6,5249,39,1900,23
RBF,Teste,200,0.7,5271,17,1911,12
RBF,Teste,250,0.1,174,5114,46,1877
RBF,Teste,250,0.2,447,4841,125,1798
RBF,Teste,250,0.3,4632,656,1607,316
RBF,Teste,250,0.4,5063,225,1794,129
RBF,Teste,250,0.5,5193,95,1861,62
RBF,Teste,250,0.6,5242,46,1895,28
RBF,Teste,250,0.7,5257,31,1904,19
RBF,Teste,40,0.1,138,5150,25,1898
RBF,Teste,40,0.2,535,4753,106,1817
RBF,Teste,40,0.3,4637,651,1537,386
RBF,Teste,40,0.4,5144,144,1828,95
RBF,Teste,40,0.5,5272,16,1906,17
RBF,Teste,40,0.6,5286,2,1917,6
RBF,Teste,40,0.7,5286,2,1918,5
RBF,Teste,80,0.1,184,5104,28,1895
RBF,Teste,80,0.2,530,4758,113,1810
RBF,Teste,80,0.3,4727,561,1590,333
RBF,Teste,80,0.4,5157,131,1843,80
RBF,Teste,80,0.5,5267,21,1896,27
RBF,Teste,80,0.6,5282,6,1908,15
RBF,Teste,80,0.7,5284,4,1912,11
RBF,Treino,100,0.1,1977,45615,96,17211
RBF,Treino,100,0.2,5639,41953,740,16567
RBF,Treino,100,0.3,42725,4867,14092,3215
RBF,Treino,100,0.4,46580,1012,16277,1030
RBF,Treino,100,0.5,47370,222,16883,424
RBF,Treino,100,0.6,47515,77,17083,224
RBF,Treino,100,0.7,47555,37,17166,141
RBF,Treino,120,0.1,2059,45533,113,17194
RBF,Treino,120,0.2,5698,41894,728,16579
RBF,Treino,120,0.3,42502,5090,13902,3405
RBF,Treino,120,0.4,46442,1150,16172,1135
RBF,Treino,120,0.5,47343,249,16859,448
RBF,Treino,120,0.6,47501,91,17068,239
RBF,Treino,120,0.7,47544,48,17162,145
RBF,Treino,150,0.1,2484,45108,192,17115
RBF,Treino,150,0.2,6113,41479,826,16481
RBF,Treino,150,0.3,41541,6051,13521,3786
RBF,Treino,150,0.4,45970,1622,15931,1376
RBF,Treino,150,0.5,47091,501,16725,582
RBF,Treino,150,0.6,47378,214,16985,322
RBF,Treino,150,0.7,47481,111,17121,186
RBF,Treino,200,0.1,2651,44941,92,17215
RBF,Treino,200,0.2,6265,41327,681,16626
RBF,Treino,200,0.3,42051,5541,13575,3732
RBF,Treino,200,0.4,46055,1537,15747,1560
RBF,Treino,200,0.5,47154,438,16609,698
RBF,Treino,200,0.6,47456,136,16915,392
RBF,Treino,200,0.7,47539,53,17076,231
RBF,Treino,250,0.1,2925,44667,93,17214
RBF,Treino,250,0.2,6627,40965,665,16642
RBF,Treino,250,0.3,41866,5726,13327,3980
RBF,Treino,250,0.4,45871,1721,15513,1794
RBF,Treino,250,0.5,47012,580,16369,938
RBF,Treino,250,0.6,47372,220,16769,538
RBF,Treino,250,0.7,47504,88,16986,321
RBF,Treino,40,0.1,1336,46256,132,17175
RBF,Treino,40,0.2,5050,42542,833,16474
RBF,Treino,40,0.3,41827,5765,13633,3674
RBF,Treino,40,0.4,46357,1235,16367,940
RBF,Treino,40,0.5,47446,146,17112,195
RBF,Treino,40,0.6,47570,22,17209,98
RBF,Treino,40,0.7,47580,12,17225,82
RBF,Treino,80,0.1,2000,45592,105,17202
RBF,Treino,80,0.2,5680,41912,747,16560
RBF,Treino,80,0.3,42508,5084,13950,3357
RBF,Treino,80,0.4,46522,1070,16363,944
RBF,Treino,80,0.5,47433,159,16976,331
RBF,Treino,80,0.6,47539,53,17122,185
RBF,Treino,80,0.7,47564,28,17168,139
