Nome;Tipo;TRESHOLD;"True
Negative";"False 
Positive";"False 
Negative";"True 
Positive";Positivos Reais;Positivos Previstos;"Negativos
Reais";"Negativos
Previstos";Total;% Previstos Positivo;% Previstos Negativo;Precisao;Recall;
RBF;Teste;0,1;1193;35823;265;13196;13461;49019;37016;1458;50477;97%;3%;27%;98%;
RBF;Teste;0,2;3478;33538;799;12662;13461;46200;37016;4277;50477;92%;8%;27%;94%;
RBF;Teste;0,3;32700;4316;11155;2306;13461;6622;37016;43855;50477;13%;87%;35%;17%;
RBF;Teste;0,4;35827;1189;12762;699;13461;1888;37016;48589;50477;4%;96%;37%;5%;
RBF;Teste;0,5;36645;371;13198;263;13461;634;37016;49843;50477;1%;99%;41%;2%;
RBF;Teste;0,6;36857;159;13339;122;13461;281;37016;50196;50477;1%;99%;43%;1%;
RBF;Teste;0,7;36925;91;13377;84;13461;175;37016;50302;50477;0%;100%;48%;1%;
RBF;Treino;0.1;15432;317712;823;120326;121149;438038;333144;16255;454293;0,964219127;0,035780873;0,274693063;0,993206712;
RBF;Treino;0.2;41072;292072;5220;115929;121149;408001;333144;46292;454293;0,898101005;0,101898995;0,284139009;0,956912562;
RBF;Treino;0.3;295020;38124;96000;25149;121149;63273;333144;391020;454293;0,139277955;0,860722045;0,397468114;0,207587351;
RBF;Treino;0.4;323797;9347;112370;8779;121149;18126;333144;436167;454293;0,03989936;0,96010064;0,484331899;0,072464486;
RBF;Treino;0.5;330849;2295;117533;3616;121149;5911;333144;448382;454293;0,013011427;0,986988573;0,611740822;0,029847543;
RBF;Treino;0.6;332331;813;119151;1998;121149;2811;333144;451482;454293;0,006187637;0,993812363;0,710779082;0,016492088;
RBF;Treino;0.7;332767;377;119904;1245;121149;1622;333144;452671;454293;0,003570383;0,996429617;0,7675709;0,010276602;
;;;;;;;;;;;;;;;;
;% Positivos;27%;;.2;;;;;;;;;;;;
;% Negativos;73%;;.3;;;;;;;;;;;;
