,Nome,NUM_CENTERS,TRESHOLD,Tipo,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF,40,0.21,Teste,55,473,16,178
1,RBF,40,0.21,Teste,72,460,13,176
2,RBF,40,0.21,Teste,62,461,10,188
3,RBF,40,0.21,Teste,69,457,15,180
4,RBF,40,0.21,Teste,45,478,5,193
5,RBF,40,0.21,Teste,66,467,15,173
6,RBF,40,0.21,Teste,60,473,9,179
7,RBF,40,0.21,Teste,54,495,12,160
8,RBF,40,0.21,Teste,70,452,12,187
9,RBF,40,0.21,Teste,63,456,18,184
10,RBF,40,0.21,Treino,631,4129,101,1628
11,RBF,40,0.21,Treino,664,4092,117,1617
12,RBF,40,0.21,Treino,612,4153,101,1624
13,RBF,40,0.21,Treino,535,4227,84,1644
14,RBF,40,0.21,Treino,436,4329,78,1647
15,RBF,40,0.21,Treino,568,4187,103,1632
16,RBF,40,0.21,Treino,668,4087,126,1609
17,RBF,40,0.21,Treino,498,4241,72,1679
18,RBF,40,0.21,Treino,555,4211,110,1614
19,RBF,40,0.21,Treino,690,4079,111,1610
20,RBF,40,0.22,Teste,67,461,18,176
21,RBF,40,0.22,Teste,83,449,17,172
22,RBF,40,0.22,Teste,71,452,15,183
23,RBF,40,0.22,Teste,84,442,19,176
24,RBF,40,0.22,Teste,54,469,7,191
25,RBF,40,0.22,Teste,73,460,19,169
26,RBF,40,0.22,Teste,72,461,11,177
27,RBF,40,0.22,Teste,61,488,13,159
28,RBF,40,0.22,Teste,83,439,16,183
29,RBF,40,0.22,Teste,73,446,22,180
30,RBF,40,0.22,Treino,727,4033,123,1606
31,RBF,40,0.22,Treino,785,3971,139,1595
32,RBF,40,0.22,Treino,704,4061,125,1600
33,RBF,40,0.22,Treino,624,4138,103,1625
34,RBF,40,0.22,Treino,529,4236,90,1635
35,RBF,40,0.22,Treino,649,4106,128,1607
36,RBF,40,0.22,Treino,768,3987,144,1591
37,RBF,40,0.22,Treino,582,4157,92,1659
38,RBF,40,0.22,Treino,677,4089,130,1594
39,RBF,40,0.22,Treino,787,3982,140,1581
40,RBF,40,0.23,Teste,85,443,19,175
41,RBF,40,0.23,Teste,100,432,20,169
42,RBF,40,0.23,Teste,85,438,16,182
43,RBF,40,0.23,Teste,98,428,24,171
44,RBF,40,0.23,Teste,67,456,15,183
45,RBF,40,0.23,Teste,82,451,22,166
46,RBF,40,0.23,Teste,86,447,13,175
47,RBF,40,0.23,Teste,69,480,15,157
48,RBF,40,0.23,Teste,97,425,18,181
49,RBF,40,0.23,Teste,89,430,26,176
50,RBF,40,0.23,Treino,877,3883,152,1577
51,RBF,40,0.23,Treino,933,3823,189,1545
52,RBF,40,0.23,Treino,824,3941,145,1580
53,RBF,40,0.23,Treino,759,4003,123,1605
54,RBF,40,0.23,Treino,657,4108,118,1607
55,RBF,40,0.23,Treino,754,4001,141,1594
56,RBF,40,0.23,Treino,887,3868,162,1573
57,RBF,40,0.23,Treino,676,4063,112,1639
58,RBF,40,0.23,Treino,824,3942,157,1567
59,RBF,40,0.23,Treino,908,3861,170,1551
60,RBF,40,0.24,Teste,100,428,23,171
61,RBF,40,0.24,Teste,118,414,26,163
62,RBF,40,0.24,Teste,111,412,22,176
63,RBF,40,0.24,Teste,117,409,28,167
64,RBF,40,0.24,Teste,85,438,17,181
65,RBF,40,0.24,Teste,98,435,24,164
66,RBF,40,0.24,Teste,98,435,17,171
67,RBF,40,0.24,Teste,79,470,18,154
68,RBF,40,0.24,Teste,117,405,22,177
69,RBF,40,0.24,Teste,109,410,32,170
70,RBF,40,0.24,Treino,1072,3688,193,1536
71,RBF,40,0.24,Treino,1134,3622,234,1500
72,RBF,40,0.24,Treino,980,3785,184,1541
73,RBF,40,0.24,Treino,930,3832,165,1563
74,RBF,40,0.24,Treino,862,3903,161,1564
75,RBF,40,0.24,Treino,908,3847,173,1562
76,RBF,40,0.24,Treino,1034,3721,188,1547
77,RBF,40,0.24,Treino,779,3960,134,1617
78,RBF,40,0.24,Treino,1001,3765,200,1524
79,RBF,40,0.24,Treino,1069,3700,207,1514
80,RBF,40,0.25,Teste,129,399,31,163
81,RBF,40,0.25,Teste,140,392,32,157
82,RBF,40,0.25,Teste,137,386,34,164
83,RBF,40,0.25,Teste,145,381,34,161
84,RBF,40,0.25,Teste,128,395,24,174
85,RBF,40,0.25,Teste,125,408,25,163
86,RBF,40,0.25,Teste,115,418,19,169
87,RBF,40,0.25,Teste,94,455,23,149
88,RBF,40,0.25,Teste,143,379,27,172
89,RBF,40,0.25,Teste,125,394,40,162
90,RBF,40,0.25,Treino,1313,3447,260,1469
91,RBF,40,0.25,Treino,1379,3377,292,1442
92,RBF,40,0.25,Treino,1225,3540,253,1472
93,RBF,40,0.25,Treino,1262,3500,250,1478
94,RBF,40,0.25,Treino,1214,3551,234,1491
95,RBF,40,0.25,Treino,1084,3671,214,1521
96,RBF,40,0.25,Treino,1186,3569,225,1510
97,RBF,40,0.25,Treino,930,3809,168,1583
98,RBF,40,0.25,Treino,1260,3506,263,1461
99,RBF,40,0.25,Treino,1268,3501,262,1459
100,RBF,40,0.26,Teste,178,350,41,153
101,RBF,40,0.26,Teste,198,334,43,146
102,RBF,40,0.26,Teste,181,342,43,155
103,RBF,40,0.26,Teste,231,295,62,133
104,RBF,40,0.26,Teste,353,170,107,91
105,RBF,40,0.26,Teste,157,376,35,153
106,RBF,40,0.26,Teste,143,390,26,162
107,RBF,40,0.26,Teste,122,427,27,145
108,RBF,40,0.26,Teste,184,338,38,161
109,RBF,40,0.26,Teste,156,363,47,155
110,RBF,40,0.26,Treino,1716,3044,364,1365
111,RBF,40,0.26,Treino,1797,2959,395,1339
112,RBF,40,0.26,Treino,1621,3144,361,1364
113,RBF,40,0.26,Treino,2067,2695,460,1268
114,RBF,40,0.26,Treino,3233,1532,895,830
115,RBF,40,0.26,Treino,1349,3406,280,1455
116,RBF,40,0.26,Treino,1395,3360,274,1461
117,RBF,40,0.26,Treino,1174,3565,248,1503
