,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF_80_0.4,Teste,0,507,21,190,4
1,RBF_80_0.4,Teste,1,524,8,184,5
2,RBF_80_0.4,Teste,2,515,8,190,8
3,RBF_80_0.4,Teste,3,507,19,183,12
4,RBF_80_0.4,Teste,4,519,4,188,10
5,RBF_80_0.4,Teste,5,517,16,179,9
6,RBF_80_0.4,Teste,6,519,14,179,9
7,RBF_80_0.4,Teste,7,534,15,165,7
8,RBF_80_0.4,Teste,8,511,11,193,6
9,RBF_80_0.4,Teste,9,504,15,192,10
10,RBF_80_0.4,Treino,0,4644,116,1627,102
11,RBF_80_0.4,Treino,1,4648,108,1648,86
12,RBF_80_0.4,Treino,2,4671,94,1639,86
13,RBF_80_0.4,Treino,3,4651,111,1633,95
14,RBF_80_0.4,Treino,4,4694,71,1652,73
15,RBF_80_0.4,Treino,5,4630,125,1622,113
16,RBF_80_0.4,Treino,6,4648,107,1641,94
17,RBF_80_0.4,Treino,7,4614,125,1649,102
18,RBF_80_0.4,Treino,8,4652,114,1617,107
19,RBF_80_0.4,Treino,9,4670,99,1635,86
