Nome;TRESHOLD;True_Negative;False_Positive;False_Negative;True_Positive;Recall;Precisao;%PrevistaPositiva;%PrevistaNegativa;DeltaRec;DeltaPrec;F1
RBF;0,2;5585;47295;939;18291;95%;27,9%;91%;9%;#VALOR!;#VALOR!;43,1%
RBF;0,21;6473;46407;1128;18102;94%;28,1%;89%;11%;-1,0%;0,2%;43,2%
RBF;0,22;7553;45327;1371;17859;93%;28,3%;88%;12%;-1,3%;0,2%;43,3%
RBF;0,23;8957;43923;1657;17573;91%;28,6%;85%;15%;-1,5%;0,3%;43,5%
RBF;0,24;10801;42079;2068;17162;89%;29,0%;82%;18%;-2,1%;0,4%;43,7%
RBF;0,25;13402;39478;2710;16520;86%;29,5%;78%;22%;-3,3%;0,5%;43,9%
RBF;0,26;19534;33346;4433;14797;77%;30,7%;67%;33%;-9,0%;1,2%;43,9%
RBF;0,27;31452;21428;8692;10538;55%;33,0%;44%;56%;-22,1%;2,2%;41,2%
RBF;0,28;42173;10707;12898;6332;33%;37,2%;24%;76%;-21,9%;4,2%;34,9%
RBF;0,29;45022;7858;14398;4832;25%;38,1%;18%;82%;-7,8%;0,9%;30,3%
RBF;0,3;46464;6416;15170;4060;21%;38,76%;15%;85%;-4,0%;0,7%;27,3%
;;;;;;;;;;;;
;;;;;72110;14%;70%;;;;;
;;;;;6489,9;;;;;;;
;;;;;1817,172;;;;;;;
;;;;;;86%;;;;;;
