Nome,Tipo,NUM_CENTERS,TRESHOLD,True_Negative,False_Positive,False_Negative,True_Positive,Recall,Precisao,%PrevistaNegativo,%PrevistaPositiva
RBF,Teste,40,0.27,2602,2686,835,1088,0.5657826313052522,0.2882882882882883,0.476632921924837,0.5233670780751629
RBF,Teste,400,0.27,4084,1204,1462,461,0.23972958918356735,0.2768768768768769,0.7691027596727222,0.23089724032727776
RBF,Teste,4000,0.27,164,5124,21,1902,0.9890795631825273,0.2707087959009394,0.025655248925253085,0.9743447510747469
RBF,Teste,450,0.27,4233,1055,1539,384,0.1996879875195008,0.26685198054204307,0.8004437664678963,0.19955623353210372
RBF,Teste,500,0.27,4151,1137,1493,430,0.22360894435777431,0.2744097000638162,0.7826931077520455,0.21730689224795452
RBF,Teste,550,0.27,4176,1112,1495,428,0.22256890275611024,0.2779220779220779,0.7864373873249203,0.21356261267507973
RBF,Teste,600,0.27,4280,1008,1529,394,0.20488819552782112,0.2810271041369472,0.8055748162529469,0.19442518374705312
RBF,Treino,40,0.27,10638,10514,3236,4456,0.5793031721268851,0.2976619906479626,0.48100124809319095,0.518998751906809
RBF,Treino,400,0.27,16660,4492,4975,2717,0.3532241289651586,0.37688999861284506,0.7500693385106088,0.24993066148939122
RBF,Treino,4000,0.27,2638,18514,227,7465,0.9704888195527821,0.2873474729589284,0.09932741644709471,0.9006725835529052
RBF,Treino,450,0.27,17142,4010,5231,2461,0.3199427977119085,0.38031216195333023,0.7756552489252531,0.2243447510747469
RBF,Treino,500,0.27,16799,4353,5026,2666,0.3465938637545502,0.37982618606639124,0.7566564970184441,0.24334350298155596
RBF,Treino,550,0.27,16968,4184,5015,2677,0.34802392095683826,0.390176359131322,0.7621342393565386,0.23786576064346138
RBF,Treino,600,0.27,17338,3814,5073,2619,0.3404836193447738,0.40711953987253224,0.7769726806268201,0.22302731937317988
