Nome;Tipo;NUM_CENTERS;True_Negative;False_Positive;False_Negative;True_Positive;Recall;Precisao;%PrevistaNegativo;%PrevistaPositiva
RBF;Teste;40;2602;2686;835;1088;57%;29%;48%;52%
RBF;Treino;40;10638;10514;3236;4456;58%;30%;48%;52%
RBF;Teste;400;4084;1204;1462;461;24%;28%;77%;23%
RBF;Treino;400;16660;4492;4975;2717;35%;38%;75%;25%
RBF;Teste;450;4233;1055;1539;384;20%;27%;80%;20%
RBF;Treino;450;17142;4010;5231;2461;32%;38%;78%;22%
RBF;Teste;500;4151;1137;1493;430;22%;27%;78%;22%
RBF;Treino;500;16799;4353;5026;2666;35%;38%;76%;24%
RBF;Teste;550;4176;1112;1495;428;22%;28%;79%;21%
RBF;Treino;550;16968;4184;5015;2677;35%;39%;76%;24%
RBF;Teste;600;4280;1008;1529;394;20%;28%;81%;19%
RBF;Treino;600;17338;3814;5073;2619;34%;41%;78%;22%
RBF;Teste;4000;164;5124;21;1902;99%;27%;3%;97%
RBF;Treino;4000;2638;18514;227;7465;97%;29%;10%;90%
;;;;;;;;;;
;;TRESHOLD = 0.27;;;;;;;;
;;;;;;;;;;
