,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive,,,,,,,
0,Arvore,Teste,0,407,121,121,73,,,,TruePositives,TrueNegatives,FalsePositives,FalseNegatives
1,Arvore,Teste,1,422,110,109,80,,,Teste,818,4135,1153,1105
2,Arvore,Teste,2,420,103,112,86,,,Treino,17307,47592,0,0
3,Arvore,Teste,3,411,115,110,85,,,,,,,
4,Arvore,Teste,4,388,135,118,80,,,,,,,
5,Arvore,Teste,5,405,128,97,91,,,,,,,
6,Arvore,Teste,6,432,101,114,74,,,,,,,
7,Arvore,Teste,7,439,110,86,86,,,,,,,
8,Arvore,Teste,8,405,117,121,78,,,,,,,
9,Arvore,Teste,9,406,113,117,85,,,,,,,
10,Arvore,Treino,0,4760,0,0,1729,,,,,,,
11,Arvore,Treino,1,4756,0,0,1734,,,,,,,
12,Arvore,Treino,2,4765,0,0,1725,,,,,,,
13,Arvore,Treino,3,4762,0,0,1728,,,,,,,
14,Arvore,Treino,4,4765,0,0,1725,,,,,,,
15,Arvore,Treino,5,4755,0,0,1735,,,,,,,
16,Arvore,Treino,6,4755,0,0,1735,,,,,,,
17,Arvore,Treino,7,4739,0,0,1751,,,,,,,
18,Arvore,Treino,8,4766,0,0,1724,,,,,,,
19,Arvore,Treino,9,4769,0,0,1721,,,,,,,
