,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive,,,,,,,
0,Arvore,Teste,0,404,124,118,76,,,,TruePositives,TrueNegatives,FalsePositives,FalseNegatives
1,Arvore,Teste,1,424,108,100,89,,,Teste,853,4160,1128,1070
2,Arvore,Teste,2,410,113,110,88,,,Treino,17307,47592,0,0
3,Arvore,Teste,3,424,102,109,86,,,,,,,
4,Arvore,Teste,4,400,123,116,82,,,,,,,
5,Arvore,Teste,5,405,128,91,97,,,,,,,
6,Arvore,Teste,6,432,101,112,76,,,,,,,
7,Arvore,Teste,7,442,107,82,90,,,,,,,
8,Arvore,Teste,8,408,114,119,80,,,,,,,
9,Arvore,Teste,9,411,108,113,89,,,,,,,
10,Arvore,Treino,0,4760,0,0,1729,,,,,,,
11,Arvore,Treino,1,4756,0,0,1734,,,,,,,
12,Arvore,Treino,2,4765,0,0,1725,,,,,,,
13,Arvore,Treino,3,4762,0,0,1728,,,,,,,
14,Arvore,Treino,4,4765,0,0,1725,,,,,,,
15,Arvore,Treino,5,4755,0,0,1735,,,,,,,
16,Arvore,Treino,6,4755,0,0,1735,,,,,,,
17,Arvore,Treino,7,4739,0,0,1751,,,,,,,
18,Arvore,Treino,8,4766,0,0,1724,,,,,,,
19,Arvore,Treino,9,4769,0,0,1721,,,,,,,
