,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,GLM,Teste,0,478,50,111,83
1,GLM,Teste,1,496,36,107,82
2,GLM,Teste,2,490,33,121,77
3,GLM,Teste,3,490,36,117,78
4,GLM,Teste,4,472,51,109,89
5,GLM,Teste,5,479,54,115,73
6,GLM,Teste,6,494,39,117,71
7,GLM,Teste,7,513,36,103,69
8,GLM,Teste,8,475,47,119,80
9,GLM,Teste,9,482,37,128,74
10,GLM,Treino,0,4396,364,1006,723
11,GLM,Treino,1,4384,372,1016,718
12,GLM,Treino,2,4396,369,1015,710
13,GLM,Treino,3,4397,365,1011,717
14,GLM,Treino,4,4410,355,1020,705
15,GLM,Treino,5,4393,362,1002,733
16,GLM,Treino,6,4383,372,1007,728
17,GLM,Treino,7,4368,371,1015,736
18,GLM,Treino,8,4406,360,1004,720
19,GLM,Treino,9,4398,371,1006,715
