,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive,,,,,,,
0,GLM,Teste,0,484,44,113,81,,,,TruePositives,TrueNegatives,FalsePositives,FalseNegatives
1,GLM,Teste,1,494,38,106,83,,,Teste,776,4876,412,1147
2,GLM,Teste,2,488,35,117,81,,,Treino,7163,43978,3614,10144
3,GLM,Teste,3,490,36,119,76,,,,,,,
4,GLM,Teste,4,473,50,119,79,,,,,,,
5,GLM,Teste,5,481,52,113,75,,,,,,,
6,GLM,Teste,6,495,38,112,76,,,,,,,
7,GLM,Teste,7,516,33,109,63,,,,,,,
8,GLM,Teste,8,476,46,113,86,,,,,,,
9,GLM,Teste,9,479,40,126,76,,,,,,,
10,GLM,Treino,0,4403,357,1019,710,,,,,,,
11,GLM,Treino,1,4394,362,1018,716,,,,,,,
12,GLM,Treino,2,4390,375,1025,700,,,,,,,
13,GLM,Treino,3,4400,362,1011,717,,,,,,,
14,GLM,Treino,4,4410,355,1025,700,,,,,,,
15,GLM,Treino,5,4392,363,1008,727,,,,,,,
16,GLM,Treino,6,4391,364,1018,717,,,,,,,
17,GLM,Treino,7,4369,370,1012,739,,,,,,,
18,GLM,Treino,8,4413,353,1012,712,,,,,,,
19,GLM,Treino,9,4416,353,996,725,,,,,,,
