,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive,,,,,,,
0,GLM,Teste,0,484,44,113,81,,,,TruePositives,TrueNegatives,FalsePositives,FalseNegatives
1,GLM,Teste,1,493,39,106,83,,,Teste,774,4879,409,1149
2,GLM,Teste,2,489,34,118,80,,,Treino,7135,44037,3555,10172
3,GLM,Teste,3,492,34,120,75,,,,,,,
4,GLM,Teste,4,475,48,118,80,,,,,,,
5,GLM,Teste,5,482,51,114,74,,,,,,,
6,GLM,Teste,6,493,40,114,74,,,,,,,
7,GLM,Teste,7,518,31,108,64,,,,,,,
8,GLM,Teste,8,474,48,113,86,,,,,,,
9,GLM,Teste,9,479,40,125,77,,,,,,,
10,GLM,Treino,0,4412,348,1023,706,,,,,,,
11,GLM,Treino,1,4397,359,1019,715,,,,,,,
12,GLM,Treino,2,4403,362,1027,698,,,,,,,
13,GLM,Treino,3,4409,353,1020,708,,,,,,,
14,GLM,Treino,4,4417,348,1022,703,,,,,,,
15,GLM,Treino,5,4397,358,1005,730,,,,,,,
16,GLM,Treino,6,4394,361,1018,717,,,,,,,
17,GLM,Treino,7,4375,364,1021,730,,,,,,,
18,GLM,Treino,8,4416,350,1014,710,,,,,,,
19,GLM,Treino,9,4417,352,1003,718,,,,,,,
