,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive,,,,,,,
0,RBF,Teste,0,469,59,171,23,,,,TruePositives,TrueNegatives,FalsePositives,FalseNegatives
1,RBF,Teste,1,80,452,17,172,,,Teste,656,3650,1638,1267
2,RBF,Teste,2,481,42,161,37,,,Treino,6351,33332,14260,10956
3,RBF,Teste,3,490,36,183,12,,,,,,,
4,RBF,Teste,4,493,30,184,14,,,,,,,
5,RBF,Teste,5,469,64,158,30,,,,,,,
6,RBF,Teste,6,120,413,26,162,,,,,,,
7,RBF,Teste,7,81,468,7,165,,,,,,,
8,RBF,Teste,8,480,42,169,30,,,,,,,
9,RBF,Teste,9,487,32,191,11,,,,,,,
10,RBF,Treino,0,4257,503,1482,247,,,,,,,
11,RBF,Treino,1,907,3849,150,1584,,,,,,,
12,RBF,Treino,2,4288,477,1461,264,,,,,,,
13,RBF,Treino,3,4352,410,1505,223,,,,,,,
14,RBF,Treino,4,4491,274,1562,163,,,,,,,
15,RBF,Treino,5,4212,543,1408,327,,,,,,,
16,RBF,Treino,6,1205,3550,211,1524,,,,,,,
17,RBF,Treino,7,721,4018,117,1634,,,,,,,
18,RBF,Treino,8,4377,389,1492,232,,,,,,,
19,RBF,Treino,9,4522,247,1568,153,,,,,,,
