,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive,,,,,,,
0,RBF,Teste,0,233,295,63,131,,,,TruePositives,TrueNegatives,FalsePositives,FalseNegatives
1,RBF,Teste,1,239,293,55,134,,,Teste,1131,2797,2491,792
2,RBF,Teste,2,380,143,113,85,,,Treino,10461,26050,21542,6846
3,RBF,Teste,3,262,264,69,126,,,,,,,
4,RBF,Teste,4,192,331,45,153,,,,,,,
5,RBF,Teste,5,187,346,50,138,,,,,,,
6,RBF,Teste,6,364,169,107,81,,,,,,,
7,RBF,Teste,7,199,350,47,125,,,,,,,
8,RBF,Teste,8,387,135,129,70,,,,,,,
9,RBF,Teste,9,354,165,114,88,,,,,,,
10,RBF,Treino,0,2204,2556,510,1219,,,,,,,
11,RBF,Treino,1,2190,2566,519,1215,,,,,,,
12,RBF,Treino,2,3470,1295,1003,722,,,,,,,
13,RBF,Treino,3,2373,2389,549,1179,,,,,,,
14,RBF,Treino,4,1920,2845,415,1310,,,,,,,
15,RBF,Treino,5,1831,2924,418,1317,,,,,,,
16,RBF,Treino,6,3330,1425,993,742,,,,,,,
17,RBF,Treino,7,1838,2901,429,1322,,,,,,,
18,RBF,Treino,8,3627,1139,1081,643,,,,,,,
19,RBF,Treino,9,3267,1502,929,792,,,,,,,
