,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,Arvore,Teste,0,409,119,115,79
1,Arvore,Teste,1,421,111,101,88
2,Arvore,Teste,2,422,101,108,90
3,Arvore,Teste,3,434,92,110,85
4,Arvore,Teste,4,392,131,110,88
5,Arvore,Teste,5,406,127,95,93
6,Arvore,Teste,6,439,94,118,70
7,Arvore,Teste,7,438,111,90,82
8,Arvore,Teste,8,409,113,120,79
9,Arvore,Teste,9,407,112,112,90
10,Arvore,Treino,0,4760,0,0,1729
11,Arvore,Treino,1,4756,0,0,1734
12,Arvore,Treino,2,4765,0,0,1725
13,Arvore,Treino,3,4762,0,0,1728
14,Arvore,Treino,4,4765,0,0,1725
15,Arvore,Treino,5,4755,0,0,1735
16,Arvore,Treino,6,4755,0,0,1735
17,Arvore,Treino,7,4739,0,0,1751
18,Arvore,Treino,8,4766,0,0,1724
19,Arvore,Treino,9,4769,0,0,1721
0,GLM,Teste,0,478,50,111,83
1,GLM,Teste,1,496,36,107,82
2,GLM,Teste,2,490,33,121,77
3,GLM,Teste,3,490,36,117,78
4,GLM,Teste,4,472,51,109,89
5,GLM,Teste,5,479,54,115,73
6,GLM,Teste,6,494,39,117,71
7,GLM,Teste,7,513,36,103,69
8,GLM,Teste,8,475,47,119,80
9,GLM,Teste,9,482,37,128,74
10,GLM,Treino,0,4396,364,1006,723
11,GLM,Treino,1,4384,372,1016,718
12,GLM,Treino,2,4396,369,1015,710
13,GLM,Treino,3,4397,365,1011,717
14,GLM,Treino,4,4410,355,1020,705
15,GLM,Treino,5,4393,362,1002,733
16,GLM,Treino,6,4383,372,1007,728
17,GLM,Treino,7,4368,371,1015,736
18,GLM,Treino,8,4406,360,1004,720
19,GLM,Treino,9,4398,371,1006,715
0,RBF,Teste,0,100,428,26,168
1,RBF,Teste,1,100,432,18,171
2,RBF,Teste,2,110,413,18,180
3,RBF,Teste,3,113,413,21,174
4,RBF,Teste,4,83,440,22,176
5,RBF,Teste,5,99,434,17,171
6,RBF,Teste,6,115,418,17,171
7,RBF,Teste,7,95,454,11,161
8,RBF,Teste,8,97,425,24,175
9,RBF,Teste,9,122,397,22,180
10,RBF,Treino,0,1021,3739,159,1570
11,RBF,Treino,1,948,3808,167,1567
12,RBF,Treino,2,1126,3639,236,1489
13,RBF,Treino,3,1075,3687,197,1531
14,RBF,Treino,4,982,3783,180,1545
15,RBF,Treino,5,1014,3741,156,1579
16,RBF,Treino,6,1109,3646,201,1534
17,RBF,Treino,7,782,3957,145,1606
18,RBF,Treino,8,1105,3661,206,1518
19,RBF,Treino,9,1241,3528,223,1498
