,Nome,Tipo,Iteracao,MSE
0,Arvore,Teste,0,33645096.7631579
1,Arvore,Teste,1,41232969.722607486
2,Arvore,Teste,2,75297733.66019417
3,Arvore,Teste,3,53244081.11373093
4,Arvore,Teste,4,59509410.97226075
5,Arvore,Teste,5,41557294.82108183
6,Arvore,Teste,6,68240869.74202496
7,Arvore,Teste,7,62349447.40915395
8,Arvore,Teste,8,54628304.5963939
9,Arvore,Teste,9,58662739.53259362
10,Arvore,Treino,0,0.0
11,Arvore,Treino,1,0.0
12,Arvore,Treino,2,0.0
13,Arvore,Treino,3,0.0
14,Arvore,Treino,4,0.0
15,Arvore,Treino,5,0.0
16,Arvore,Treino,6,0.0
17,Arvore,Treino,7,0.0
18,Arvore,Treino,8,0.0
19,Arvore,Treino,9,0.0
20,GLM,Teste,0,21667341.701323383
21,GLM,Teste,1,27352605.760529857
22,GLM,Teste,2,32221519.452132992
23,GLM,Teste,3,19782696.25712541
24,GLM,Teste,4,44688283.7270713
25,GLM,Teste,5,15568358.10780973
26,GLM,Teste,6,32097339.971832775
27,GLM,Teste,7,22673173.270591896
28,GLM,Teste,8,33991132.330202684
29,GLM,Teste,9,39558490.44007499
30,GLM,Treino,0,28613786.903069198
31,GLM,Treino,1,28007738.310340587
32,GLM,Treino,2,27213485.339802638
33,GLM,Treino,3,29065757.96763297
34,GLM,Treino,4,26018631.429171305
35,GLM,Treino,5,29558858.828196663
36,GLM,Treino,6,27780456.404623747
37,GLM,Treino,7,28466190.43273636
38,GLM,Treino,8,27415668.18064994
39,GLM,Treino,9,26952889.02216588
40,RBF,Teste,0,19821075.10547939
41,RBF,Teste,1,25677000.86729148
42,RBF,Teste,2,33747704.62178765
43,RBF,Teste,3,17992058.599622484
44,RBF,Teste,4,40962869.41343012
45,RBF,Teste,5,12893677.596289271
46,RBF,Teste,6,26547269.95920767
47,RBF,Teste,7,21245325.875540577
48,RBF,Teste,8,27315283.781538863
49,RBF,Teste,9,35671259.40211216
50,RBF,Treino,0,26657285.03401893
51,RBF,Treino,1,25908778.48730173
52,RBF,Treino,2,25149333.299479753
53,RBF,Treino,3,26830194.23705597
54,RBF,Treino,4,24191616.161416896
55,RBF,Treino,5,27224224.583671074
56,RBF,Treino,6,25818071.136102058
57,RBF,Treino,7,26529594.11725089
58,RBF,Treino,8,25639663.007060215
59,RBF,Treino,9,24814584.169008877
