Nome,Tipo,Iteracao,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,0,194,9,519,0
0.1,Teste,1,184,12,520,5
0.1,Teste,2,196,12,511,2
0.1,Teste,3,191,20,506,4
0.1,Teste,4,195,12,511,3
0.1,Teste,5,187,9,524,1
0.1,Teste,6,185,14,519,3
0.1,Teste,7,168,10,539,4
0.1,Teste,8,197,11,511,2
0.1,Teste,9,199,7,512,3
0.2,Teste,0,188,50,478,6
0.2,Teste,1,182,36,496,7
0.2,Teste,2,189,46,477,9
0.2,Teste,3,183,57,469,12
0.2,Teste,4,188,53,470,10
0.2,Teste,5,183,53,480,5
0.2,Teste,6,176,38,495,12
0.2,Teste,7,164,40,509,8
0.2,Teste,8,189,47,475,10
0.2,Teste,9,193,48,471,9
0.3,Teste,0,41,441,87,153
0.3,Teste,1,52,439,93,137
0.3,Teste,2,50,441,82,148
0.3,Teste,3,48,443,83,147
0.3,Teste,4,54,425,98,144
0.3,Teste,5,51,451,82,137
0.3,Teste,6,52,447,86,136
0.3,Teste,7,36,459,90,136
0.3,Teste,8,39,448,74,160
0.3,Teste,9,60,437,82,142
0.4,Teste,0,3,515,13,191
0.4,Teste,1,8,520,12,181
0.4,Teste,2,6,513,10,192
0.4,Teste,3,7,510,16,188
0.4,Teste,4,9,511,12,189
0.4,Teste,5,4,531,2,184
0.4,Teste,6,4,528,5,184
0.4,Teste,7,5,531,18,167
0.4,Teste,8,8,511,11,191
0.4,Teste,9,2,513,6,200
0.5,Teste,0,1,525,3,193
0.5,Teste,1,0,532,0,189
0.5,Teste,2,0,523,0,198
0.5,Teste,3,3,526,0,192
0.5,Teste,4,1,523,0,197
0.5,Teste,5,0,533,0,188
0.5,Teste,6,0,533,0,188
0.5,Teste,7,0,548,1,172
0.5,Teste,8,1,521,1,198
0.5,Teste,9,0,519,0,202
0.6,Teste,0,0,528,0,194
0.6,Teste,1,0,532,0,189
0.6,Teste,2,0,523,0,198
0.6,Teste,3,0,526,0,195
0.6,Teste,4,0,523,0,198
0.6,Teste,5,0,533,0,188
0.6,Teste,6,0,533,0,188
0.6,Teste,7,0,549,0,172
0.6,Teste,8,0,522,0,199
0.6,Teste,9,0,519,0,202
0.7,Teste,0,0,528,0,194
0.7,Teste,1,0,532,0,189
0.7,Teste,2,0,523,0,198
0.7,Teste,3,0,526,0,195
0.7,Teste,4,0,523,0,198
0.7,Teste,5,0,533,0,188
0.7,Teste,6,0,533,0,188
0.7,Teste,7,0,549,0,172
0.7,Teste,8,0,522,0,199
0.7,Teste,9,0,519,0,202
0.8,Teste,0,0,528,0,194
0.8,Teste,1,0,532,0,189
0.8,Teste,2,0,523,0,198
