Nome,Tipo,Iteracao,MSE
40,Teste,0,19803519.100934297
40,Teste,1,25550121.53641636
40,Teste,2,33530719.75882678
40,Teste,3,17387254.207781177
40,Teste,4,40972231.53560039
40,Teste,5,12763666.39366488
40,Teste,6,26480234.284322772
40,Teste,7,20783890.71902905
40,Teste,8,27596326.41515472
40,Teste,9,35436688.597452275
40,Teste,10,19760373.43506066
40,Teste,11,25646461.712262694
40,Teste,12,33796496.075684346
40,Teste,13,17501289.296755314
40,Teste,14,40658987.373009086
40,Teste,15,12892888.27370325
40,Teste,16,26825836.27997895
40,Teste,17,20889408.152613763
40,Teste,18,27884142.30643599
40,Teste,19,35354714.70897143
40,Teste,20,8.666606179329403
40,Teste,21,8.529290592894935
40,Teste,22,8.629976544102083
40,Teste,23,8.680224733597813
40,Teste,24,8.776397656680995
40,Teste,25,8.32438642943859
40,Teste,26,8.340067137884084
40,Teste,27,8.12054771581902
40,Teste,28,8.77965802636575
40,Teste,29,8.821226108039106
40,Treino,0,26585883.478586886
40,Treino,1,25930226.332374655
40,Treino,2,25044460.949787274
40,Treino,3,26816907.985918596
40,Treino,4,24197710.521946404
40,Treino,5,27314010.839517348
40,Treino,6,25796581.53299406
40,Treino,7,26423383.886042736
40,Treino,8,25751497.364228282
40,Treino,9,24857296.02326392
40,Treino,10,26666007.86740835
40,Treino,11,25780393.516940784
40,Treino,12,24950226.55908689
40,Treino,13,26740297.686979037
40,Treino,14,24200276.261256482
40,Treino,15,27250280.01034116
40,Treino,16,25876243.160928555
40,Treino,17,26497616.400246482
40,Treino,18,25587466.805941213
40,Treino,19,24789360.744160235
40,Treino,20,8.437242473548007
40,Treino,21,8.448024554142208
40,Treino,22,8.44047159437313
40,Treino,23,8.459382352792373
40,Treino,24,8.433910631055547
40,Treino,25,8.487839027348807
40,Treino,26,8.493833723246315
40,Treino,27,8.521412225834057
40,Treino,28,8.429632800340377
40,Treino,29,8.408799503124325
