Nome,Tipo,Iteracao,MSE
40,Teste,0,19803519.100934297
40,Teste,1,25550121.53641636
40,Teste,2,33530719.75882678
40,Teste,3,17387254.207781177
40,Teste,4,40972231.53560039
40,Teste,5,12763666.39366488
40,Teste,6,26480234.284322772
40,Teste,7,20783890.71902905
40,Teste,8,27596326.41515472
40,Teste,9,35436688.597452275
40,Treino,0,26585883.478586886
40,Treino,1,25930226.332374655
40,Treino,2,25044460.949787274
40,Treino,3,26816907.985918596
40,Treino,4,24197710.521946404
40,Treino,5,27314010.839517348
40,Treino,6,25796581.53299406
40,Treino,7,26423383.886042736
40,Treino,8,25751497.364228282
40,Treino,9,24857296.02326392
