Nome,Tipo,Iteracao,MSE
1000,Teste,0,21636539.112434115
1000,Teste,1,307993593.34705776
1000,Teste,2,34326253.61716662
1000,Teste,3,12343120772.452473
1000,Teste,4,42644148.60061066
1000,Teste,5,18322605.47654885
1000,Teste,6,1228810676965.7341
1000,Teste,7,185135463799767.12
1000,Teste,8,35044112.63578895
1000,Teste,9,5562815104.142348
1000,Treino,0,25066425.106613383
1000,Treino,1,24265933.718806695
1000,Treino,2,23285800.40803119
1000,Treino,3,24604526.6060729
1000,Treino,4,21390835.97900785
1000,Treino,5,25999676.35069172
1000,Treino,6,22519110.842372168
1000,Treino,7,23912685.55418936
1000,Treino,8,24224941.360634666
1000,Treino,9,22716313.2814267
