Nome,Tipo,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,5697,271,15593,72
0.2,Teste,5609,597,15267,160
0.3,Teste,314,15192,672,5455
0.4,Teste,112,15599,265,5657
0.5,Teste,57,15735,129,5712
0.6,Teste,40,15784,80,5729
0.7,Teste,34,15807,57,5735
0.8,Teste,25,15823,41,5744
0.9,Teste,15,15835,29,5754
1.0,Teste,12,15841,23,5757
0.1,Treino,51915,18070,124706,6
0.2,Treino,51585,25503,117273,336
0.3,Treino,11866,133422,9354,40055
0.4,Treino,8605,139347,3429,43316
0.5,Treino,7304,141592,1184,44617
0.6,Treino,6451,142478,298,45470
0.7,Treino,5788,142721,55,46133
0.8,Treino,5163,142763,13,46758
0.9,Treino,4437,142770,6,47484
1.0,Treino,2484,142775,1,49437
