Nome,Tipo,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,3802,230,10346,44
0.2,Teste,3723,560,10016,123
0.3,Teste,311,9953,623,3535
0.4,Teste,121,10350,226,3725
0.5,Teste,69,10462,114,3777
0.6,Teste,38,10507,69,3808
0.7,Teste,25,10536,40,3821
0.8,Teste,17,10544,32,3829
0.9,Teste,14,10548,28,3832
1.0,Teste,14,10555,21,3832
0.1,Treino,34571,7921,87263,43
0.2,Treino,34076,12911,82273,538
0.3,Treino,6862,88153,7031,27752
0.4,Treino,4167,92815,2369,30447
0.5,Treino,3141,94299,885,31473
0.6,Treino,2481,94888,296,32133
0.7,Treino,2085,95110,74,32529
0.8,Treino,1786,95157,27,32828
0.9,Treino,1500,95172,12,33114
1.0,Treino,876,95180,4,33738
