Nome,Tipo,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,1872,189,5099,51
0.2,Teste,1806,401,4887,117
0.3,Teste,235,4760,528,1688
0.4,Teste,83,5078,210,1840
0.5,Teste,42,5186,102,1881
0.6,Teste,32,5230,58,1891
0.7,Teste,28,5244,44,1895
0.8,Teste,21,5257,31,1902
0.9,Teste,13,5266,22,1910
1.0,Teste,10,5271,17,1913
0.1,Treino,17305,6255,41337,2
0.2,Treino,17056,9999,37593,251
0.3,Treino,5117,42056,5536,12190
0.4,Treino,3188,45625,1967,14119
0.5,Treino,2345,46934,658,14962
0.6,Treino,1860,47407,185,15447
0.7,Treino,1511,47557,35,15796
0.8,Treino,1232,47587,5,16075
0.9,Treino,979,47591,1,16328
1.0,Treino,506,47592,0,16801
