Nome,Tipo,Iteracao,True_Positive,True_Negative,False_Positive,False_Negative
8,Teste,0,41,481,47,153
8,Teste,1,56,472,60,133
8,Teste,2,63,471,52,135
8,Teste,3,42,490,36,153
8,Teste,4,66,471,52,132
8,Teste,5,90,439,94,98
8,Teste,6,46,492,41,142
8,Teste,7,47,496,53,125
8,Teste,8,74,466,56,125
8,Teste,9,63,473,46,139
8,Teste,10,41,480,48,153
8,Teste,11,56,474,58,133
8,Teste,12,62,471,52,136
8,Teste,13,42,491,35,153
8,Teste,14,67,473,50,131
8,Teste,15,90,438,95,98
8,Teste,16,47,493,40,141
8,Teste,17,45,496,53,127
8,Teste,18,74,467,55,125
8,Teste,19,63,469,50,139
8,Teste,20,41,481,47,153
8,Teste,21,55,474,58,134
8,Teste,22,61,471,52,137
8,Teste,23,41,491,35,154
8,Teste,24,67,468,55,131
8,Teste,25,90,439,94,98
8,Teste,26,47,492,41,141
8,Teste,27,46,498,51,126
8,Teste,28,74,464,58,125
8,Teste,29,61,471,48,141
8,Treino,0,742,4536,224,987
8,Treino,1,764,4545,211,970
8,Treino,2,794,4539,226,931
8,Treino,3,630,4610,152,1098
8,Treino,4,787,4531,234,938
8,Treino,5,1067,4262,493,668
8,Treino,6,689,4548,207,1046
8,Treino,7,740,4532,207,1011
8,Treino,8,853,4467,299,871
8,Treino,9,754,4551,218,967
8,Treino,10,742,4536,224,987
8,Treino,11,764,4546,210,970
8,Treino,12,801,4536,229,924
8,Treino,13,629,4611,151,1099
8,Treino,14,787,4531,234,938
8,Treino,15,1067,4262,493,668
8,Treino,16,686,4550,205,1049
8,Treino,17,740,4532,207,1011
8,Treino,18,853,4467,299,871
8,Treino,19,760,4546,223,961
8,Treino,20,742,4536,224,987
8,Treino,21,764,4545,211,970
8,Treino,22,795,4538,227,930
8,Treino,23,628,4611,151,1100
8,Treino,24,787,4531,234,938
8,Treino,25,1067,4262,493,668
8,Treino,26,689,4548,207,1046
8,Treino,27,740,4533,206,1011
8,Treino,28,853,4467,299,871
8,Treino,29,759,4546,223,962
