Nome,Tipo,Iteracao,True_Positive,True_Negative,False_Positive,False_Negative
3,Teste,0,14,522,6,180
3,Teste,1,15,528,4,174
3,Teste,2,15,515,8,183
3,Teste,3,18,510,16,177
3,Teste,4,30,498,25,168
3,Teste,5,10,524,9,178
3,Teste,6,25,519,14,163
3,Teste,7,47,487,62,125
3,Teste,8,20,513,9,179
3,Teste,9,22,503,16,180
3,Teste,10,14,522,6,180
3,Teste,11,15,528,4,174
3,Teste,12,15,516,7,183
3,Teste,13,18,510,16,177
3,Teste,14,30,498,25,168
3,Teste,15,10,524,9,178
3,Teste,16,25,519,14,163
3,Teste,17,47,487,62,125
3,Teste,18,20,513,9,179
3,Teste,19,22,503,16,180
3,Treino,0,125,4705,55,1604
3,Treino,1,124,4703,53,1610
3,Treino,2,124,4716,49,1601
3,Treino,3,233,4617,145,1495
3,Treino,4,291,4580,185,1434
3,Treino,5,128,4706,49,1607
3,Treino,6,226,4608,147,1509
3,Treino,7,547,4232,507,1204
3,Treino,8,124,4710,56,1600
3,Treino,9,238,4594,175,1483
3,Treino,10,125,4705,55,1604
3,Treino,11,124,4703,53,1610
3,Treino,12,124,4716,49,1601
3,Treino,13,233,4617,145,1495
3,Treino,14,291,4580,185,1434
3,Treino,15,128,4706,49,1607
3,Treino,16,226,4608,147,1509
3,Treino,17,547,4232,507,1204
3,Treino,18,124,4710,56,1600
3,Treino,19,238,4594,175,1483
