Nome,Tipo,Iteracao,True_Positive,True_Negative,False_Positive,False_Negative
8,Teste,0,41,481,47,153
8,Teste,1,56,472,60,133
8,Teste,2,63,471,52,135
8,Teste,3,42,490,36,153
8,Teste,4,66,471,52,132
8,Teste,5,90,439,94,98
8,Teste,6,46,492,41,142
8,Teste,7,47,496,53,125
8,Teste,8,74,466,56,125
8,Teste,9,63,473,46,139
8,Treino,0,742,4536,224,987
8,Treino,1,764,4545,211,970
8,Treino,2,794,4539,226,931
8,Treino,3,630,4610,152,1098
8,Treino,4,787,4531,234,938
8,Treino,5,1067,4262,493,668
8,Treino,6,689,4548,207,1046
8,Treino,7,740,4532,207,1011
8,Treino,8,853,4467,299,871
8,Treino,9,754,4551,218,967
