Nome,Tipo,Iteracao,MSE
3,Teste,0,19753103.398825243
3,Teste,1,24973602.720972046
3,Teste,2,33032247.158011034
3,Teste,3,17162122.575000044
3,Teste,4,40395284.32924606
3,Teste,5,12267739.958817888
3,Teste,6,26250526.921574876
3,Teste,7,20625012.912471514
3,Teste,8,26535010.116751693
3,Teste,9,34961248.28399285
3,Teste,10,19753103.398825243
3,Teste,11,24973602.720972046
3,Teste,12,33032247.158011034
3,Teste,13,17162122.575000044
3,Teste,14,40395284.32924606
3,Teste,15,12267739.958817888
3,Teste,16,26250526.921574876
3,Teste,17,20625012.912471514
3,Teste,18,26535010.116751693
3,Teste,19,34961248.28399285
3,Teste,20,7.634413022001104
3,Teste,21,7.387485570612734
3,Teste,22,7.676749093597345
3,Teste,23,7.881055638271499
3,Teste,24,7.928966384075753
3,Teste,25,7.442477087626821
3,Teste,26,7.309286174177836
3,Teste,27,7.269022515756742
3,Teste,28,7.5756099276196105
3,Teste,29,7.594317148064075
3,Treino,0,25572338.317879852
3,Treino,1,24805715.572268277
3,Treino,2,24026761.84279759
3,Treino,3,25839619.64161761
3,Treino,4,22237808.497950163
3,Treino,5,26381040.981745016
3,Treino,6,24842724.86858957
3,Treino,7,25380840.14986803
3,Treino,8,24795744.93102785
3,Treino,9,23846451.59203761
3,Treino,10,25572338.317879852
3,Treino,11,24805715.572268277
3,Treino,12,24026761.84279759
3,Treino,13,25839619.64161761
3,Treino,14,22237808.497950163
3,Treino,15,26381040.981745016
3,Treino,16,24842724.86858957
3,Treino,17,25380840.14986803
3,Treino,18,24795744.93102785
3,Treino,19,23846451.59203761
3,Treino,20,7.426373580807515
3,Treino,21,7.460723420026155
3,Treino,22,7.429081381226829
3,Treino,23,7.4086787641628185
3,Treino,24,7.388432619277707
3,Treino,25,7.428628447893837
3,Treino,26,7.4703289750755575
3,Treino,27,7.472714102122197
3,Treino,28,7.434051533337353
3,Treino,29,7.406571741000983
