Nome,Tipo,Iteracao,MSE
,Teste,0,42022732.68836565
,Teste,1,43699765.840499304
,Teste,2,70171032.4036061
,Teste,3,46502358.93481276
,Teste,4,64460110.395284325
,Teste,5,50005639.832177535
,Teste,6,68035855.80166435
,Teste,7,61942316.44244105
,Teste,8,65450002.83079057
,Teste,9,74507026.35644938
,Teste,10,41025067.15096953
,Teste,11,36169587.91400832
,Teste,12,75704257.70873787
,Teste,13,42838509.76837725
,Teste,14,56758916.45353676
,Teste,15,55279363.31345354
,Teste,16,48080041.77669903
,Teste,17,50058368.642163664
,Teste,18,66402620.94868238
,Teste,19,75973246.83495146
,Treino,0,0.0
,Treino,1,0.0
,Treino,2,0.0
,Treino,3,0.0
,Treino,4,0.0
,Treino,5,0.0
,Treino,6,0.0
,Treino,7,0.0
,Treino,8,0.0
,Treino,9,0.0
,Treino,10,0.0
,Treino,11,0.0
,Treino,12,0.0
,Treino,13,0.0
,Treino,14,0.0
,Treino,15,0.0
,Treino,16,0.0
,Treino,17,0.0
,Treino,18,0.0
,Treino,19,0.0
