Nome,Tipo,Iteracao,MSE
3,Teste,0,19753103.398825243
3,Teste,1,24973602.720972046
3,Teste,2,33032247.158011034
3,Teste,3,17162122.575000044
3,Teste,4,40395284.32924606
3,Teste,5,12267739.958817888
3,Teste,6,26250526.921574876
3,Teste,7,20625012.912471514
3,Teste,8,26535010.116751693
3,Teste,9,34961248.28399285
3,Treino,0,25572338.317879852
3,Treino,1,24805715.572268277
3,Treino,2,24026761.84279759
3,Treino,3,25839619.64161761
3,Treino,4,22237808.497950163
3,Treino,5,26381040.981745016
3,Treino,6,24842724.86858957
3,Treino,7,25380840.14986803
3,Treino,8,24795744.93102785
3,Treino,9,23846451.59203761
